time_s,seed,receiver,sender,physicalAge_s,loggedAoI_s,positionError_m,localPositionBound_m,globalPositionBound_m,velocityError_mps,velocityBound_mps,acceptedPayloadSpeed_mps
0,27020001,3,2,0,0.01,0,0,0,0,0,0
0.02,27020001,3,2,0.02,0.03,0.000799999999999989,0.0008,1.2008,0.04,0.04,0
0.04,27020001,3,2,0.04,0.05,0.0024,0.0024,2.4024,0.08,0.08,0
0.06,27020001,3,2,0.06,0.07,0.0048,0.0048,3.6048,0.12,0.12,0
0.08,27020001,3,2,0.08,0.09,0.008,0.008,4.808,0.16,0.16,0
0.1,27020001,3,2,0.1,0.11,0.012,0.012,6.012,0.2,0.2,0
0.12,27020001,3,2,0.12,0.13,0.0168,0.0168,7.2168,0.24,0.24,0
0.14,27020001,3,2,0.14,0.15,0.0224,0.0224,8.4224,0.28,0.28,0
0.16,27020001,3,2,0.16,0.17,0.0288,0.0288,9.6288,0.32,0.32,0
0.18,27020001,3,2,0.18,0.19,0.036,0.036,10.836,0.36,0.36,0
0.2,27020001,3,2,0.2,0.21,0.044,0.044,12.044,0.4,0.4,0
0.22,27020001,3,2,0.22,0.23,0.0528,0.0528,13.2528,0.44,0.44,0
0.24,27020001,3,2,0.24,0.25,0.0623779015976869,0.0624,14.4624,0.478895079884347,0.48,0
0.26,27020001,3,2,0.26,0.27,0.0724737245431718,0.0728,15.6728,0.504888638815921,0.52,0
0.28,27020001,3,2,0.28,0.29,0.0830040201954525,0.084,16.884,0.526798088302823,0.56,0
0.3,27020001,3,2,0.3,0.31,0.0938428086728291,0.096,18.096,0.542512530400302,0.6,0
0.32,27020001,3,2,0.12,0.13,0.0609495304555647,0.0648,7.2168,0.15937214100422,0.24,0.4
0.34,27020001,3,2,0.14,0.15,0.0722089970896549,0.0784,8.4224,0.169586048625616,0.28,0.4
0.36,27020001,3,2,0.12,0.13,0.0652488541652146,0.0742674095861217,7.2168,0.108663592549799,0.24,0.478895079884347
0.38,27020001,3,2,0.12,0.13,0.0666194795883744,0.0773866366579106,7.2168,0.0910145044759267,0.24,0.504888638815921
0.4,27020001,3,2,0.12,0.13,0.0675725172274979,0.0800157705963388,7.2168,0.0785022723810997,0.24,0.526798088302823
0.42,27020001,3,2,0.14,0.15,0.0790402147538024,0.0961517323623953,8.4224,0.0858978706784535,0.28,0.526798088302823
0.44,27020001,3,2,0.16,0.17,0.090484677576188,0.113087694128452,9.6288,0.0929456768748074,0.32,0.526798088302823
0.46,27020001,3,2,0.18,0.19,0.101888068992582,0.130823655894508,10.836,0.0988419211265059,0.36,0.526798088302823
0.48,27020001,3,2,0.2,0.21,0.113246841645345,0.149359617660565,12.044,0.106477922786604,0.4,0.526798088302823
0.5,27020001,3,2,0.12,0.13,0.068596475148633,0.0856281078281386,7.2168,0.0573205341879899,0.24,0.573567565234488
0.52,27020001,3,2,0.12,0.13,0.0683839537049514,0.0857455832803107,7.2168,0.0553402148304103,0.24,0.574546527335923
0.54,27020001,3,2,0.14,0.15,0.0795693026190518,0.102836513827029,8.4224,0.0630341844186443,0.28,0.574546527335923
0.56,27020001,3,2,0.16,0.17,0.0906784508873916,0.120727444373748,9.6288,0.0749381870899192,0.32,0.574546527335923
0.58,27020001,3,2,0.12,0.13,0.0673731219460868,0.0853994895404197,7.2168,0.0603905233768854,0.24,0.571662412836831
0.6,27020001,3,2,0.14,0.15,0.0783374186214699,0.102432737797156,8.4224,0.070447921969386,0.28,0.571662412836831
0.62,27020001,3,2,0.12,0.13,0.0665116821415742,0.0848652286144128,7.2168,0.0596204871872775,0.24,0.56721023845344
0.64,27020001,3,2,0.12,0.13,0.0660589771391004,0.0844669785424258,7.2168,0.0593627415529566,0.24,0.563891487853548
