seed,scenario,channelClass,receiver,sender,sampleCount,meanPhysicalAge_s,maxPhysicalAge_s,positionCoverage,velocityCoverage,accelerationCoverage,maxPositionViolation_m,maxVelocityViolation_mps,maxAccelerationViolation_mps2,p95PositionTightness,p95VelocityTightness,p95AccelerationTightness,maxAgeConventionResidual_s,maxPayloadGenerationResidual,crossingSampleCount
27020001,Stressed,ordinary-neighbor,2,1,1501,0.172671552298468,0.459999999999997,1,1,NaN,0,0,NaN,0.755694814814817,0.559999999999998,NaN,0,0,12
27020001,Stressed,ordinary-neighbor,5,1,1501,0.173017988007995,0.519999999999996,1,1,NaN,0,0,NaN,0.742157037037039,0.547333333333333,NaN,0,0,9
27020001,Stressed,pin,2,1,1501,0.171725516322452,0.460000000000001,1,1,1,0,0,1.52655665885959e-16,0.7488,0.533666666666669,1,0,0,6
27020001,Stressed,pin,4,1,1501,0.173524317121919,0.579999999999998,1,1,1,0,0,1.66533453693773e-16,0.754832592592592,0.513666666666666,1,0,0,6
27020002,Stressed,ordinary-neighbor,2,1,1501,0.178107928047968,0.579999999999998,1,1,NaN,0,0,NaN,0.761416296296295,0.540333333333332,NaN,0,0,12
27020002,Stressed,ordinary-neighbor,5,1,1501,0.182425049966689,0.52,1,1,NaN,0,0,NaN,0.755694814814817,0.533666666666669,NaN,0,0,6
27020002,Stressed,pin,2,1,1501,0.175736175882745,0.460000000000001,1,1,1,0,0,1.66533453693773e-16,0.755694814814817,0.533666666666669,1,0,0,6
27020002,Stressed,pin,4,1,1501,0.171952031978681,0.58,1,1,1,0,0,1.66533453693773e-16,0.755694814814817,0.553788451591881,1,0,0,9
27020003,Stressed,ordinary-neighbor,2,1,1501,0.171405729513658,0.460000000000001,1,1,NaN,0,0,NaN,0.736029629629628,0.547333333333333,NaN,0,0,9
27020003,Stressed,ordinary-neighbor,5,1,1501,0.176109260493005,0.58,1,1,NaN,0,0,NaN,0.755694814814817,0.527333333333332,NaN,0,0,9
27020003,Stressed,pin,2,1,1501,0.172258494337109,0.400000000000002,1,1,1,0,0,1.38777878078145e-16,0.742361481481482,0.533666666666669,1,0,0,6
27020003,Stressed,pin,4,1,1501,0.171752165223185,0.52,1,1,1,0,0,1.52655665885959e-16,0.74342222222222,0.546666666666667,1,0,0,9
27020004,Stressed,ordinary-neighbor,2,1,1501,0.177228514323784,0.460000000000001,1,1,NaN,0,0,NaN,0.74342222222222,0.533666666666669,NaN,0,0,6
27020004,Stressed,ordinary-neighbor,5,1,1501,0.181052631578947,0.52,1,1,NaN,0,0,NaN,0.74342222222222,0.540333333333336,NaN,0,0,6
27020004,Stressed,pin,2,1,1501,0.179853431045969,0.459999999999999,1,1,1,0,0,1.66533453693773e-16,0.734749629629629,0.527,1,0,0,6
27020004,Stressed,pin,4,1,1501,0.173324450366422,0.52,1,1,1,0,0,1.66533453693773e-16,0.74342222222222,0.533666666666669,1,0,0,6
27020005,Stressed,ordinary-neighbor,2,1,1501,0.176562291805463,0.52,1,1,NaN,0,0,NaN,0.742361481481482,0.533666666666669,NaN,0,0,6
27020005,Stressed,ordinary-neighbor,5,1,1501,0.171192538307795,0.640000000000001,1,1,NaN,0,0,NaN,0.742361481481482,0.534660205239218,NaN,0,0,9
27020005,Stressed,pin,2,1,1501,0.174057295136576,0.399999999999999,1,1,1,0,0,1.52655665885959e-16,0.726794074074074,0.540333333333333,1,0,0,6
27020005,Stressed,pin,4,1,1501,0.181465689540306,0.640000000000001,1,1,1,0,0,1.66533453693773e-16,0.721552592592591,0.547000000000001,1,0,0,9
