seed,scenario,method,receiver,sender,sampleCount,meanPhysicalAge_s,maxPhysicalAge_s,meanPositionError_m,maxPositionError_m,meanLocalPositionBound_m,maxLocalPositionBound_m,meanGlobalPositionBound_m,positionCoverage,velocityCoverage,maxPositionViolation_m,maxVelocityViolation_mps,medianLocalPositionTightness,p95LocalPositionTightness,p95GlobalPositionTightness,p95VelocityTightness,maxAgeConventionResidual_s,maxPayloadGenerationResidual
27020001,Stressed,Causal-v3 frozen,3,2,1501,0.179546968687542,0.58,0.0399667229599609,0.115859083105201,0.0800055603769266,0.463934211281613,10.8130611592272,1,1,1.73472347597681e-17,2.77555756156289e-17,0.529955132945088,0.773753977942614,0.00865402722916623,0.225144783417946,0,0
27020001,Stressed,Causal-v3 frozen,2,3,1501,0.181745502998001,0.58,0.0410083194539531,0.163035362577296,0.0827841362747648,0.460243583435354,10.9465801465689,1,1,5.55111512312578e-17,6.93889390390723e-18,0.534452853689049,0.752918734591346,0.00764324581543507,0.182163180529755,0,0
27020001,Stressed,Causal-v3 frozen,4,3,1501,0.171299133910726,0.52,0.0385204926588463,0.12140759396713,0.0746674528112533,0.388993887831406,10.3141921385743,1,1,5.55111512312578e-17,6.93889390390723e-18,0.542316457942734,0.754157957828176,0.00746776116915176,0.184559082246189,0,0
27020001,Stressed,Causal-v3 frozen,3,4,1501,0.175469686875416,0.460000000000001,0.0388463558795077,0.132916580986875,0.0764673391176869,0.313734077396947,10.5659794803464,1,1,2.25514051876985e-17,1.38777878078145e-17,0.533332699868269,0.727958563241403,0.00690030373244321,0.155576928690667,0,0
27020001,Stressed,Causal-v3 frozen,5,4,1501,0.170246502331779,0.460000000000001,0.0376762969467377,0.107752946306066,0.0733965984559515,0.32192625790291,10.2505348434377,1,1,2.25514051876985e-17,1.38777878078145e-17,0.536555337988774,0.734806053398571,0.00684368181775994,0.157818595593416,0,0
27020001,Stressed,Causal-v3 frozen,4,5,1501,0.176415722851432,0.52,0.0380965172802247,0.106504493024924,0.0763337521827882,0.385964063875407,10.6232959360426,1,1,0,0,0.531584122267875,0.716904752279128,0.00685218149892199,0.215604806196094,0,0
27020002,Stressed,Causal-v3 frozen,3,2,1501,0.178787475016656,0.64,0.0398938183152366,0.13653339862538,0.0806531626188539,0.561065515056403,10.7683405729514,1,1,1.73472347597681e-17,2.77555756156289e-17,0.533548849804148,0.770094612471561,0.00871616945031153,0.216511133128687,0,0
27020002,Stressed,Causal-v3 frozen,2,3,1501,0.182678214523651,0.52,0.0406282993564232,0.105247241752955,0.0827215448219625,0.392435135461163,11.0028242504997,1,1,5.55111512312578e-17,6.93889390390723e-18,0.534618094384039,0.759624970824147,0.00753872027485002,0.188025527341392,0,0
27020002,Stressed,Causal-v3 frozen,4,3,1501,0.175682878081279,0.460000000000001,0.0394702331483542,0.119359172161641,0.077479623178357,0.313667968160369,10.5789990672885,1,1,5.55111512312578e-17,6.93889390390723e-18,0.536048410589969,0.747623124613604,0.00757440653915393,0.188549777245063,0,0
27020002,Stressed,Causal-v3 frozen,3,4,1501,0.176135909393738,0.52,0.0387553451455582,0.107065209776124,0.0771226000842869,0.390007282091128,10.6065529646902,1,1,2.25514051876985e-17,1.38777878078145e-17,0.533620790915545,0.73341009306349,0.00688046930538281,0.153281177290777,0,0
27020002,Stressed,Causal-v3 frozen,5,4,1501,0.179920053297801,0.460000000000001,0.0398901560845566,0.171922345432593,0.0799787552335069,0.340729476607069,10.8356855429713,1,1,2.25514051876985e-17,1.38777878078145e-17,0.534018161792828,0.731301085532823,0.00666164469798197,0.155696007272924,0,0
27020002,Stressed,Causal-v3 frozen,4,5,1501,0.175016655562958,0.520000000000001,0.0377359526339238,0.116727849024045,0.0756107800103567,0.388264084689505,10.5390662225183,1,1,0,0,0.533396364606373,0.701435724778936,0.00680791739214699,0.209666778546635,0,0
27020003,Stressed,Causal-v3 frozen,3,2,1501,0.176668887408394,0.460000000000001,0.0394871434312338,0.116845252987927,0.0779229254343251,0.314454349972602,10.6386051965356,1,1,1.73472347597681e-17,2.77555756156289e-17,0.531420055957097,0.773373323204761,0.00870923985878956,0.212992081664219,0,0
