time_s,seed,epsilonPosition_m,maxNormalizedControlRisk,violatingLinksThisStep,controlAwareTxThisStep,formationRMS_m
0,27020001,0.4,0,0,0,0.616948133962653
0.02,27020001,0.4,0.67116400407511,0,0,0.616287646479615
0.04,27020001,0.4,1.35313386868095,2,2,0.614962752732064
0.06,27020001,0.4,2.04590959381751,6,4,0.612979669478701
0.08,27020001,0.4,2.7494911794848,9,5,0.610344987371376
0.1,27020001,0.4,3.46387862568281,9,0,0.607065677549406
0.12,27020001,0.4,4.18907193241155,10,6,0.603151068387207
0.14,27020001,0.4,4.92507109967102,10,1,0.598624394290817
0.16,27020001,0.4,5.64917606815387,10,5,0.593513920507545
0.18,27020001,0.4,6.31895747377065,10,3,0.587859320056015
0.2,27020001,0.4,6.8158643550176,10,2,0.581731404940339
0.22,27020001,0.4,7.27511030550364,10,2,0.575162077771349
0.24,27020001,0.4,7.69925664316146,10,3,0.568216289883419
0.26,27020001,0.4,8.02649729983145,10,3,0.56098594019228
0.28,27020001,0.4,6.97690462997096,10,3,0.553526253066522
0.3,27020001,0.4,7.25641969289753,10,0,0.545897481883989
0.32,27020001,0.4,5.94932198059045,10,4,0.538191143546034
0.34,27020001,0.4,6.03030858143783,10,0,0.530448405066229
0.36,27020001,0.4,6.10585445164226,10,2,0.522698565241597
0.38,27020001,0.4,6.17601029026854,10,2,0.514968286275125
0.4,27020001,0.4,6.24088809506733,10,5,0.507287108601165
0.42,27020001,0.4,6.30064472323017,10,0,0.499670283728979
0.44,27020001,0.4,6.35546904479632,10,1,0.492134456729868
0.46,27020001,0.4,6.40557191069322,10,2,0.484697668700424
0.48,27020001,0.4,6.45117833745563,10,5,0.477374067573311
0.5,27020001,0.4,4.1587509923504,10,2,0.47018945025503
0.52,27020001,0.4,4.25928541786476,10,0,0.463147703428161
0.54,27020001,0.4,4.50940566458908,10,1,0.456269300512267
0.56,27020001,0.4,4.48499046709445,10,5,0.44956462969662
0.58,27020001,0.4,4.58630888077822,10,2,0.443044504708059
0.6,27020001,0.4,4.67993536030592,10,0,0.4367186830729
0.62,27020001,0.4,4.78571007062411,10,2,0.430586675697875
0.64,27020001,0.4,4.88367238412532,10,5,0.424646141300369
0.66,27020001,0.4,5.07990707456462,10,1,0.418906563990016
0.68,27020001,0.4,5.37325016843874,10,2,0.413376587779584
0.7,27020001,0.4,5.66568076742359,10,0,0.408057343938878
0.72,27020001,0.4,5.95715084547238,10,5,0.402949687438299
0.74,27020001,0.4,6.24761237653831,10,2,0.398063763468513
0.76,27020001,0.4,6.53701733457456,10,0,0.393397861596453
0.78,27020001,0.4,6.82531769353434,10,2,0.388952542085276
0.8,27020001,0.4,6.31058582052909,10,6,0.384734813251454
0.82,27020001,0.4,6.56469351590033,10,0,0.380734862062687
0.84,27020001,0.4,6.80477745411812,10,0,0.376963066272055
0.86,27020001,0.4,7.03166479084779,10,2,0.37341619216331
0.88,27020001,0.4,7.24620294296195,10,3,0.370098253323773
0.9,27020001,0.4,7.4492305116273,10,5,0.367018034126319
0.92,27020001,0.4,7.65992367678033,10,0,0.36417069611038
0.94,27020001,0.4,7.85916169187864,10,0,0.361557488002946
0.96,27020001,0.4,4.5766901561604,10,2,0.359186036558723
0.98,27020001,0.4,4.85130309178126,10,2,0.357063869894106
1,27020001,0.4,5.12428314181081,10,3,0.355193602457898
1.02,27020001,0.4,5.39558228020224,10,3,0.353570140123008
1.04,27020001,0.4,4.76022772961642,10,2,0.352162323771782
1.06,27020001,0.4,4.9797678384585,10,0,0.350979827566596
1.08,27020001,0.4,5.18529691880217,10,2,0.350031574997944
1.1,27020001,0.4,5.37490485297096,10,3,0.349314747098111
1.12,27020001,0.4,5.5497664789611,10,5,0.34880316603532
1.14,27020001,0.4,5.71097412563859,10,0,0.348478419518478
1.16,27020001,0.4,5.92245820738034,10,0,0.34833876616143
1.18,27020001,0.4,6.11744348321931,10,0,0.348384528682679
1.2,27020001,0.4,6.2971505123894,10,5,0.348622413480357
1.22,27020001,0.4,6.52103811798587,10,4,0.349043153004732
1.24,27020001,0.4,6.72750596067798,10,1,0.349592049722002
1.26,27020001,0.4,6.96779069543124,10,0,0.350231661644417
1.28,27020001,0.4,7.18927231946303,10,0,0.350974038756313
1.3,27020001,0.4,7.39332259181284,10,5,0.351830187299485
1.32,27020001,0.4,7.5812214142031,10,4,0.352810005315747
1.34,27020001,0.4,5.13928140199229,10,1,0.353900728675743
1.36,27020001,0.4,3.78510564233088,10,0,0.355092308788978
1.38,27020001,0.4,3.96886610434585,10,0,0.35639415812296
1.4,27020001,0.4,4.14945044379889,10,5,0.357814504485137
1.42,27020001,0.4,4.32680102943385,10,0,0.359360393737799
1.44,27020001,0.4,3.89433608318014,10,4,0.36098325648673
1.46,27020001,0.4,4.11650457569187,10,1,0.362610267037035
1.48,27020001,0.4,4.33588755748902,10,0,0.364255082481718
1.5,27020001,0.4,4.55243700252477,10,2,0.36592997441462
1.52,27020001,0.4,4.76610488475233,10,5,0.3676458484156
1.54,27020001,0.4,4.51468853216986,10,2,0.369412282723158
1.56,27020001,0.4,2.91940733307462,10,1,0.371237579687009
1.58,27020001,0.4,3.12414237059678,10,0,0.373108400507113
1.6,27020001,0.4,3.32580374112353,10,2,0.374999747671986
1.62,27020001,0.4,3.52434341860807,10,5,0.376920563402447
1.64,27020001,0.4,3.71971337700361,10,2,0.378869569794895
1.66,27020001,0.4,3.95220746957803,10,1,0.380839782894166
1.68,27020001,0.4,4.19008047939442,10,0,0.382839045075555
1.7,27020001,0.4,4.43040281759777,10,2,0.384873965994532
1.72,27020001,0.4,4.67312645814128,10,0,0.386950001459414
1.74,27020001,0.4,4.91820337497816,10,5,0.389064361986381
1.76,27020001,0.4,5.16558554206158,10,2,0.391197830251911
1.78,27020001,0.4,5.41522493334476,10,1,0.393356297961481
1.8,27020001,0.4,5.66707352278089,10,2,0.395528306052414
1.82,27020001,0.4,5.92108328432316,10,0,0.397718716368849
1.84,27020001,0.4,4.11801483848311,10,5,0.399924693992698
1.86,27020001,0.4,4.29223188094489,10,2,0.402149878299664
1.88,27020001,0.4,4.55243700252478,10,3,0.404297625362946
1.9,27020001,0.4,4.8146111920236,10,0,0.40632240151318
1.92,27020001,0.4,5.07870642339455,10,0,0.408230395493829
1.94,27020001,0.4,5.29331246891866,10,3,0.410034717641414
1.96,27020001,0.4,5.55883733045385,10,4,0.411746960750985
1.98,27020001,0.4,4.60779822754308,10,2,0.413311816023939
2,27020001,0.4,4.83887395086858,10,1,0.414694832629821
2.02,27020001,0.4,5.07203080288889,10,2,0.415908143995016
2.04,27020001,0.4,5.30721115234785,10,3,0.416968732809476
2.06,27020001,0.4,5.54435736798928,10,3,0.417891654577513
2.08,27020001,0.4,5.78341181855703,10,1,0.418659927337001
2.1,27020001,0.4,6.02431687279492,10,1,0.419289579415807
2.12,27020001,0.4,6.26701489944681,10,4,0.419768015377106
2.14,27020001,0.4,6.51144826725652,10,1,0.420104580952594
2.16,27020001,0.4,6.75755934496788,10,3,0.420287335486724
2.18,27020001,0.4,7.00529050132474,10,1,0.420307134410637
2.2,27020001,0.4,7.25458410507095,10,3,0.420144024145275
2.22,27020001,0.4,7.50538252495032,10,2,0.419813803364357
2.24,27020001,0.4,7.75762812970667,10,1,0.419330294359854
2.26,27020001,0.4,8.01126328808388,10,3,0.418688201305893
2.28,27020001,0.4,4.49370114728443,10,3,0.417899953343806
2.3,27020001,0.4,4.78517122533322,10,1,0.416934464391974
2.32,27020001,0.4,5.07760182431807,10,1,0.415789041061239
2.34,27020001,0.4,5.37094491819218,10,2,0.414480678912024
2.36,27020001,0.4,3.99105413796893,10,2,0.412999772254692
2.38,27020001,0.4,4.25181636169174,10,3,0.411358217457039
2.4,27020001,0.4,4.51356472024223,10,2,0.409549943147927
2.42,27020001,0.4,4.77624158236426,10,1,0.407576741409232
2.44,27020001,0.4,5.03978931680166,10,4,0.405445014158199
2.46,27020001,0.4,5.30415029229826,10,0,0.403162763213973
2.48,27020001,0.4,5.56926687759788,10,4,0.400722574579666
2.5,27020001,0.4,5.83508144144439,10,1,0.398135448278851
2.52,27020001,0.4,6.1015363525816,10,3,0.395397429615592
2.54,27020001,0.4,6.36857397975337,10,2,0.392502604813874
2.56,27020001,0.4,6.63613669170352,10,1,0.389459047760579
2.58,27020001,0.4,6.90416685717587,10,3,0.386277259701272
2.6,27020001,0.4,7.17260684491429,10,3,0.382959563304112
2.62,27020001,0.4,7.44139902366259,10,1,0.37950221073725
2.64,27020001,0.4,7.71048576216462,10,3,0.375906664365116
2.66,27020001,0.4,7.97980942916423,10,0,0.372183048193009
2.68,27020001,0.4,8.24931239340521,10,5,0.368325199359836
2.7,27020001,0.4,8.51893702363144,10,1,0.364332509790471
2.72,27020001,0.4,8.78862568858674,10,2,0.360122261843501
2.74,27020001,0.4,9.05832075701496,10,2,0.355720231870698
2.76,27020001,0.4,9.3279645976599,10,2,0.351135325795574
2.78,27020001,0.4,9.59749957926543,10,3,0.346349558649962
2.8,27020001,0.4,9.86686807057538,10,2,0.341366507375759
2.82,27020001,0.4,10.1360124403336,10,0,0.336196234510526
2.84,27020001,0.4,10.4048750572838,10,3,0.330839835980288
2.86,27020001,0.4,10.6733982901701,10,2,0.325297830898443
2.88,27020001,0.4,4.2150540237321,10,2,0.319558644877544
2.9,27020001,0.4,4.51444839950342,10,2,0.313647004671485
2.92,27020001,0.4,4.8133625148067,10,3,0.307555677485374
