armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanDataRatePerChannel_Hz,meanBroadcastRate_Hz,meanControlViolationRatio,isPareto
CA11,Control-aware,Control-aware,epsilonPosition_m,1.6,NaN,1.6,5,0,0,0,0.492396138557567,0.00559703713534618,2.86233333333333,0.0547640139345376,2.49666666666667,23.3733333333333,0.231685542971352,0
CA10,Control-aware,Control-aware,epsilonPosition_m,1.2,NaN,1.2,5,0,0,0,0.386743008413134,0.00799898101601095,3.74233333333333,0.0717886558664467,3.258,30.0266666666667,0.303504330446369,0
CA9,Control-aware,Control-aware,epsilonPosition_m,0.8,NaN,0.8,5,0,0,0,0.291090656942404,0.00381730386249428,4.9835,0.0457172773078675,4.342,38.9133333333333,0.411499000666223,0
CA8,Control-aware,Control-aware,epsilonPosition_m,0.6,NaN,0.6,5,0,0,0,0.242116680661301,0.00187010602070531,6.01133333333333,0.0527461162340677,5.22266666666667,46.26,0.492085276482345,0
CA7,Control-aware,Control-aware,epsilonPosition_m,0.4,NaN,0.4,5,0,0,0,0.187404403849773,0.00193806057666834,8.30316666666667,0.0356019662378351,7.20866666666667,61.5933333333333,0.657561625582945,0
CA6,Control-aware,Control-aware,epsilonPosition_m,0.3,NaN,0.3,5,0,0,0,0.162088379276818,0.00242886200187861,10.0895,0.0296308304154838,8.76933333333333,70.2666666666667,0.823904063957362,0
CA5,Control-aware,Control-aware,epsilonPosition_m,0.2,NaN,0.2,5,0,0,0,0.153758453313919,0.00171006524170344,11.4385,0.029617937507906,9.93866666666667,61.7866666666667,0.998600932711526,0
CA4,Control-aware,Control-aware,epsilonPosition_m,0.15,NaN,0.15,5,0,0,0,0.153516604296138,0.00102187881512877,12.0386666666667,0.0367923980674749,10.4593333333333,64.0866666666667,0.999000666222518,0
CA3,Control-aware,Control-aware,epsilonPosition_m,0.1,NaN,0.1,5,0,0,0,0.143206865561242,0.00158837734960813,14.7411666666667,0.021307927580546,12.8173333333333,85.9133333333333,0.999267155229847,0
CA2,Control-aware,Control-aware,epsilonPosition_m,0.075,NaN,0.075,5,0,0,0,0.13277097165104,0.00159077436230376,18.4826666666667,0.0435547229228806,16.0786666666667,107.26,0.999267155229847,0
CA1,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,5,0,0,0,0.111891448054356,0.000902237068818955,25.975,0.0236657863686049,22.5886666666667,147.886666666667,0.999333777481679,0
