armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanDataRatePerChannel_Hz,meanBroadcastRate_Hz,meanControlViolationRatio,isPareto
P40,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,2,0.574162382373146,0.033483427760528,1.21666666666667,0.00527046276694725,1.21666666666667,7.3,NaN,0
P25,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.403478498038076,0.0244339006846551,1.96666666666667,0,1.96666666666667,11.8,NaN,0
P20,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.345053322081916,0.00670584855071818,2.46666666666667,0,2.46666666666667,14.8,NaN,0
P15,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.290098768452112,0.0174212074048411,3.3,0,3.3,19.8,NaN,0
P10,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.218635461619846,0.00496371067967631,4.96666666666667,0,4.96666666666667,29.8,NaN,0
P8,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.188954351785617,0.0011124806691112,6.21666666666667,0.00527046276694756,6.21666666666667,37.3,NaN,0
P5,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.146982386276291,0.000955713199415225,9.96666666666667,0,9.96666666666667,59.8,NaN,0
P4,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.133045932188317,0.00138686260840216,12.4666666666667,0,12.4666666666667,74.8,NaN,0
P3,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.118589837257718,0.000986669238031091,16.6333333333333,0,16.6333333333333,99.8,NaN,0
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.102559167655231,0.000610336636433321,24.9666666666667,0,24.9666666666667,149.8,NaN,0
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.0886258634757743,9.06395109114867e-05,49.9666666666667,0,49.9666666666667,299.8,NaN,0
