armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,retryInterval_s,seed,scenario,formationRMSE_m,maxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,broadcastRate_Hz,maxEvaluationAcceleration_mps2,saturationFraction,diverged,invariantViolations,traceHashExact,controlViolationRatio,controlMaxNormalizedRisk,runtime_s,failed,errorIdentifier,errorMessage
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020001,Stressed,0.0886689708544633,0.11265175962646,14990,0,49.9666666666667,49.9666666666667,299.8,0.0746929363461522,0,0,0,47187688286,NaN,NaN,2.4035627,0,,
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020002,Stressed,0.0886151665287334,0.112385977230529,14990,0,49.9666666666667,49.9666666666667,299.8,0.0784939577864331,0,0,0,47256918831,NaN,NaN,3.1326732,0,,
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020003,Stressed,0.0887525790038519,0.112193069003441,14990,0,49.9666666666667,49.9666666666667,299.8,0.0684550409024551,0,0,0,47240498210,NaN,NaN,2.5801157,0,,
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020004,Stressed,0.0885133455843323,0.112657140649559,14990,0,49.9666666666667,49.9666666666667,299.8,0.0655902354251691,0,0,0,47136378024,NaN,NaN,4.7002545,0,,
P1,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020005,Stressed,0.0885792554074906,0.112636438922357,14990,0,49.9666666666667,49.9666666666667,299.8,0.0685088149287745,0,0,0,47246216507,NaN,NaN,2.1334978,0,,
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020001,Stressed,0.102348107063417,0.131041788203796,7490,0,24.9666666666667,24.9666666666667,149.8,0.0973020304945775,0,0,0,47187688286,NaN,NaN,1.6795423,0,,
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020002,Stressed,0.101763076052823,0.130703011196273,7490,0,24.9666666666667,24.9666666666667,149.8,0.106782473943523,0,0,0,47256918831,NaN,NaN,1.7119658,0,,
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020003,Stressed,0.103453761570298,0.134408132297758,7490,0,24.9666666666667,24.9666666666667,149.8,0.110784546478909,0,0,0,47240498210,NaN,NaN,1.7628407,0,,
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020004,Stressed,0.102665953577869,0.132826587051204,7490,0,24.9666666666667,24.9666666666667,149.8,0.176826382510572,0,0,0,47136378024,NaN,NaN,2.1983512,0,,
P2,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020005,Stressed,0.102564940011747,0.132674284455843,7490,0,24.9666666666667,24.9666666666667,149.8,0.0963546185185985,0,0,0,47246216507,NaN,NaN,1.4905432,0,,
