armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,isPareto,frontierFamily
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,0,0.397907733783428,0.0116713386090645,0.397922216444858,0.011679779875681,1.24818181818182,0.00406557814090878,1.21666666666667,0.00527046276694725,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.271641077368448,0.0121323637605287,0.271620258602502,0.0121417239920329,2,0,1.96666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.229705709599464,0.00734760968572224,0.229711744880017,0.00735075814631113,2.5,0,2.46666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.188065074913217,0.00838948014939316,0.188066516600616,0.00839494096811222,3.33545454545455,0.00380300012060932,3.3,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.145614996889007,0.00233680418554309,0.145612292152277,0.00234009746909345,5,0,4.96666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.124202507629697,0.00126877604646236,0.124201276827102,0.00126840631623047,6.24545454545455,0.0124482399432991,6.21666666666667,0.00527046276694756,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.0962349430032647,0.000397364154886214,0.0962354261569635,0.000398275457938751,10,0,9.96666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.0867298426777338,0.000920918202033239,0.0867293269424085,0.000920581425993934,12.5,0,12.4666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.0775617245515087,0.00037269475993459,0.0775618832685252,0.000372511260987306,16.6663636363636,0.00995859195463957,16.6333333333333,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.0681511727941525,0.000210659869804168,0.0681514754652889,0.000210745893819825,25,0,24.9666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.0590979350507513,4.57864060062249e-05,0.0590979684994297,4.55318166796273e-05,50,0,49.9666666666667,0,NaN,NaN,S1,Stationary-Moderate,0,Periodic
CA11,Control-aware,Control-aware,epsilonPosition_m,1.6,NaN,1.6,5,0,0,0,0.472396743443407,0.00854764282269181,0.472399864827205,0.00855190797503033,1.8,0.0457518684981759,2.0925,0.0311191705830631,NaN,0.14562291805463,S1,Stationary-Moderate,0,Control-aware
CA10,Control-aware,Control-aware,epsilonPosition_m,1.2,NaN,1.2,5,0,0,0,0.352804476161762,0.00591689623423828,0.352799913569068,0.005919036032662,2.46386363636364,0.0424458819270136,2.8945,0.0497584442861488,NaN,0.195842771485676,S1,Stationary-Moderate,0,Control-aware
CA09,Control-aware,Control-aware,epsilonPosition_m,0.8,NaN,0.8,5,0,0,0,0.258546889474129,0.00281673457294644,0.258548257258412,0.00282032825960571,3.35954545454545,0.0808760466229364,4.01183333333333,0.0686360166223084,NaN,0.279333777481679,S1,Stationary-Moderate,0,Control-aware
CA08,Control-aware,Control-aware,epsilonPosition_m,0.6,NaN,0.6,5,0,0,0,0.209926719266519,0.00147292233440582,0.209930797663403,0.00147341253893614,4.23136363636364,0.0743975458917211,4.96366666666667,0.0304001096489251,NaN,0.354203864090606,S1,Stationary-Moderate,0,Control-aware
CA07,Control-aware,Control-aware,epsilonPosition_m,0.4,NaN,0.4,5,0,0,0,0.156862330449655,0.00176785034719451,0.156862976491344,0.00176679505727233,5.80568181818182,0.0185161031100003,6.62883333333333,0.0184710734814078,NaN,0.46290473017988,S1,Stationary-Moderate,0,Control-aware
CA06,Control-aware,Control-aware,epsilonPosition_m,0.3,NaN,0.3,5,0,0,0,0.129152956608651,0.0013144729287044,0.129153064570514,0.00131703761761362,7.89227272727273,0.0275131448674242,8.74216666666667,0.0228415435360904,NaN,0.550526315789474,S1,Stationary-Moderate,0,Control-aware
CA05,Control-aware,Control-aware,epsilonPosition_m,0.2,NaN,0.2,5,0,0,0,0.10148392116572,0.0011444408848854,0.101484225637132,0.00114449870402513,10.6418181818182,0.0264238145468554,11.7808333333333,0.0183806208334266,NaN,0.811045969353764,S1,Stationary-Moderate,0,Control-aware
