armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,retryInterval_s,seed,scenarioId,scenario,formationRMSE_m,primaryFormationRMSE_m,maxFormationError_m,primaryMaxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,evaluationCost025PerChannel_Hz,eventCost025PerChannel_Hz,quietCost025PerChannel_Hz,eventTrafficConcentration,eventDurationFraction,eventAllocationRatio,broadcastRate_Hz,maxEvaluationAcceleration_mps2,saturationFraction,diverged,invariantViolations,traceHashExact,controlViolationRatio,controlMaxNormalizedRisk,runtime_s,failed,errorIdentifier,errorMessage
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020001,S1,Stationary-Moderate,0.0590651584024997,0.0590653012895666,0.07473272023689,0.07473272023689,14990,0,49.9666666666667,49.9666666666667,50,NaN,NaN,NaN,NaN,NaN,299.8,0.0507267297723323,0,0,0,47187688286,NaN,NaN,1.4532535,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020002,S1,Stationary-Moderate,0.0591744706012096,0.0591740532808705,0.0753484320572731,0.0753484320572731,14990,0,49.9666666666667,49.9666666666667,50,NaN,NaN,NaN,NaN,NaN,299.8,0.0514638654022662,0,0,0,47256918831,NaN,NaN,1.701317,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020003,S1,Stationary-Moderate,0.059100140748007,0.0591003151460632,0.0750029668234619,0.0750029668234619,14990,0,49.9666666666667,49.9666666666667,50,NaN,NaN,NaN,NaN,NaN,299.8,0.050705422335688,0,0,0,47240498210,NaN,NaN,2.3391884,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020004,S1,Stationary-Moderate,0.0590609466194513,0.0590612325791374,0.0754123152573593,0.0754123152573593,14990,0,49.9666666666667,49.9666666666667,50,NaN,NaN,NaN,NaN,NaN,299.8,0.0508690001751972,0,0,0,47136378024,NaN,NaN,1.6510412,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,27020005,S1,Stationary-Moderate,0.0590889588825889,0.0590889402015108,0.0749727872778457,0.0749727872778457,14990,0,49.9666666666667,49.9666666666667,50,NaN,NaN,NaN,NaN,NaN,299.8,0.0519944093544006,0,0,0,47246216507,NaN,NaN,1.8638223,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020001,S1,Stationary-Moderate,0.0678020188223009,0.0678023463651094,0.0868466293073452,0.0868466293073452,7490,0,24.9666666666667,24.9666666666667,25,NaN,NaN,NaN,NaN,NaN,149.8,0.0631933410306825,0,0,0,47187688286,NaN,NaN,2.0311809,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020002,S1,Stationary-Moderate,0.0681649377174566,0.0681644502808391,0.0873658826988168,0.0873658826988168,7490,0,24.9666666666667,24.9666666666667,25,NaN,NaN,NaN,NaN,NaN,149.8,0.0739516329851882,0,0,0,47256918831,NaN,NaN,1.3147242,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020003,S1,Stationary-Moderate,0.068365990241862,0.0683666153938328,0.0873993485582059,0.0873993485582059,7490,0,24.9666666666667,24.9666666666667,25,NaN,NaN,NaN,NaN,NaN,149.8,0.086384004717829,0,0,0,47240498210,NaN,NaN,1.2249687,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020004,S1,Stationary-Moderate,0.0681798590494352,0.0681804514954484,0.0865834187508936,0.0865834187508936,7490,0,24.9666666666667,24.9666666666667,25,NaN,NaN,NaN,NaN,NaN,149.8,0.0700347412183775,0,0,0,47136378024,NaN,NaN,1.58046,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,27020005,S1,Stationary-Moderate,0.0682430581397076,0.0682435137912151,0.087585663626969,0.087585663626969,7490,0,24.9666666666667,24.9666666666667,25,NaN,NaN,NaN,NaN,NaN,149.8,0.0682929082666351,0,0,0,47246216507,NaN,NaN,1.2215666,0,,
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,NaN,27020001,S1,Stationary-Moderate,0.0781661652276177,0.078166382133655,0.101074790691148,0.101074790691148,4990,0,16.6333333333333,16.6333333333333,16.6636363636364,NaN,NaN,NaN,NaN,NaN,99.8,0.115520142514007,0,0,0,47187688286,NaN,NaN,0.9351824,0,,
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,NaN,27020002,S1,Stationary-Moderate,0.0775677028634375,0.0775684472673422,0.102604376174488,0.102604376174488,4990,0,16.6333333333333,16.6333333333333,16.6727272727273,NaN,NaN,NaN,NaN,NaN,99.8,0.0899457877610026,0,0,0,47256918831,NaN,NaN,1.4248039,0,,
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,NaN,27020003,S1,Stationary-Moderate,0.0775422262181091,0.0775408838703763,0.101758250402107,0.101758250402107,4990,0,16.6333333333333,16.6333333333333,16.65,NaN,NaN,NaN,NaN,NaN,99.8,0.102510290629204,0,0,0,47240498210,NaN,NaN,1.1876921,0,,
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,NaN,27020004,S1,Stationary-Moderate,0.0771789502214816,0.0771800524208028,0.0991127464642052,0.0991127464642052,4990,0,16.6333333333333,16.6333333333333,16.6727272727273,NaN,NaN,NaN,NaN,NaN,99.8,0.120659488951567,0,0,0,47136378024,NaN,NaN,1.0818505,0,,
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,NaN,27020005,S1,Stationary-Moderate,0.0773535782268975,0.0773536506504495,0.0993146392281656,0.0993146392281656,4990,0,16.6333333333333,16.6333333333333,16.6727272727273,NaN,NaN,NaN,NaN,NaN,99.8,0.11006529298869,0,0,0,47246216507,NaN,NaN,1.5042834,0,,
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,NaN,27020001,S1,Stationary-Moderate,0.0856126906606812,0.0856132903583641,0.113144408806677,0.113144408806677,3740,0,12.4666666666667,12.4666666666667,12.5,NaN,NaN,NaN,NaN,NaN,74.8,0.117686671220951,0,0,0,47187688286,NaN,NaN,0.9924903,0,,
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,NaN,27020002,S1,Stationary-Moderate,0.086409707508807,0.0864076486659259,0.112425985427576,0.112425985427576,3740,0,12.4666666666667,12.4666666666667,12.5,NaN,NaN,NaN,NaN,NaN,74.8,0.146437546048935,0,0,0,47256918831,NaN,NaN,0.9499017,0,,
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,NaN,27020003,S1,Stationary-Moderate,0.0879169966438079,0.0879164411714085,0.113416886817135,0.113416886817135,3740,0,12.4666666666667,12.4666666666667,12.5,NaN,NaN,NaN,NaN,NaN,74.8,0.148843920794365,0,0,0,47240498210,NaN,NaN,1.7067309,0,,
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,NaN,27020004,S1,Stationary-Moderate,0.0863066263631208,0.0863068017631014,0.112370953905249,0.112370953905249,3740,0,12.4666666666667,12.4666666666667,12.5,NaN,NaN,NaN,NaN,NaN,74.8,0.142956895697162,0,0,0,47136378024,NaN,NaN,2.2095877,0,,
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,NaN,27020005,S1,Stationary-Moderate,0.0874031922122522,0.0874024527532427,0.120011762440732,0.120011762440732,3740,0,12.4666666666667,12.4666666666667,12.5,NaN,NaN,NaN,NaN,NaN,74.8,0.164534231648009,0,0,0,47246216507,NaN,NaN,2.0442611,0,,
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,NaN,27020001,S1,Stationary-Moderate,0.0962762414561084,0.0962787191998022,0.126140134709443,0.126140134709443,2990,0,9.96666666666667,9.96666666666667,10,NaN,NaN,NaN,NaN,NaN,59.8,0.208956862219571,0,0,0,47187688286,NaN,NaN,1.3528275,0,,
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,NaN,27020002,S1,Stationary-Moderate,0.0965320739304486,0.0965317853222904,0.126937138314978,0.126937138314978,2990,0,9.96666666666667,9.96666666666667,10,NaN,NaN,NaN,NaN,NaN,59.8,0.170040454354486,0,0,0,47256918831,NaN,NaN,0.7362791,0,,
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,NaN,27020003,S1,Stationary-Moderate,0.0958623981985098,0.0958620086185547,0.125876055849785,0.125876055849785,2990,0,9.96666666666667,9.96666666666667,10,NaN,NaN,NaN,NaN,NaN,59.8,0.170011690176273,0,0,0,47240498210,NaN,NaN,0.8025959,0,,
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,NaN,27020004,S1,Stationary-Moderate,0.0967004587257059,0.0967021863678681,0.134323743693129,0.134323743693129,2990,0,9.96666666666667,9.96666666666667,10,NaN,NaN,NaN,NaN,NaN,59.8,0.192818838934478,0,0,0,47136378024,NaN,NaN,1.0346872,0,,
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,NaN,27020005,S1,Stationary-Moderate,0.095803542705551,0.0958024312763023,0.124859780665943,0.124859780665943,2990,0,9.96666666666667,9.96666666666667,10,NaN,NaN,NaN,NaN,NaN,59.8,0.185549132526169,0,0,0,47246216507,NaN,NaN,0.8224692,0,,
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,NaN,27020001,S1,Stationary-Moderate,0.122954782768515,0.122959292465727,0.163559680593682,0.163559680593682,1865,0,6.21666666666667,6.21666666666667,6.25909090909091,NaN,NaN,NaN,NaN,NaN,37.3,0.235713575893879,0,0,0,47187688286,NaN,NaN,0.9446593,0,,
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,NaN,27020002,S1,Stationary-Moderate,0.124114152661018,0.12410264047466,0.168533850293317,0.168533850293317,1864,0,6.21333333333333,6.21333333333333,6.23636363636364,NaN,NaN,NaN,NaN,NaN,37.3,0.304788984481228,0,0,0,47256918831,NaN,NaN,1.207476,0,,
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,NaN,27020003,S1,Stationary-Moderate,0.125388156570323,0.125394207842873,0.173111399586556,0.173111399586556,1863,0,6.21,6.21,6.25909090909091,NaN,NaN,NaN,NaN,NaN,37.2666666666667,0.407656238575943,0,0,0,47240498210,NaN,NaN,0.9984687,0,,
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,NaN,27020004,S1,Stationary-Moderate,0.12559253647514,0.125588356901902,0.172729063081369,0.172729063081369,1866,0,6.22,6.22,6.23636363636364,NaN,NaN,NaN,NaN,NaN,37.3,0.301926090378619,0,0,0,47136378024,NaN,NaN,0.7424977,0,,
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,NaN,27020005,S1,Stationary-Moderate,0.12296290967349,0.122961886450346,0.165574986399987,0.165574986399987,1867,0,6.22333333333333,6.22333333333333,6.23636363636364,NaN,NaN,NaN,NaN,NaN,37.3333333333333,0.333956024939962,0,0,0,47246216507,NaN,NaN,1.6815727,0,,
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,NaN,27020001,S1,Stationary-Moderate,0.148996498683233,0.149001001490413,0.251776790672189,0.251776790672189,1490,0,4.96666666666667,4.96666666666667,5,NaN,NaN,NaN,NaN,NaN,29.8,0.497163750332422,0,0,0,47187688286,NaN,NaN,0.7028934,0,,
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,NaN,27020002,S1,Stationary-Moderate,0.143289349816605,0.14327640733574,0.199679418171837,0.199679418171837,1490,0,4.96666666666667,4.96666666666667,5,NaN,NaN,NaN,NaN,NaN,29.8,0.38830708374646,0,0,0,47256918831,NaN,NaN,0.9627832,0,,
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,NaN,27020003,S1,Stationary-Moderate,0.143689774197484,0.143691276932926,0.201574150983489,0.201574150983489,1490,0,4.96666666666667,4.96666666666667,5,NaN,NaN,NaN,NaN,NaN,29.8,0.337963466528002,0,0,0,47240498210,NaN,NaN,0.9927127,0,,
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,NaN,27020004,S1,Stationary-Moderate,0.145373277232808,0.145376559617246,0.190987584681925,0.190987584681925,1490,0,4.96666666666667,4.96666666666667,5,NaN,NaN,NaN,NaN,NaN,29.8,0.382581256400762,0,0,0,47136378024,NaN,NaN,1.1226886,0,,
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,NaN,27020005,S1,Stationary-Moderate,0.146726084514901,0.146716215385062,0.203987463671537,0.203987463671537,1490,0,4.96666666666667,4.96666666666667,5,NaN,NaN,NaN,NaN,NaN,29.8,0.3735818139711,0,0,0,47246216507,NaN,NaN,0.5799792,0,,
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,NaN,27020001,S1,Stationary-Moderate,0.182236155803268,0.18223571119466,0.259445390441306,0.259445390441306,990,0,3.3,3.3,3.34090909090909,NaN,NaN,NaN,NaN,NaN,19.8,0.486630216590936,0,0,0,47187688286,NaN,NaN,1.0644362,0,,
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,NaN,27020002,S1,Stationary-Moderate,0.188543500929737,0.188533261205014,0.259600290414536,0.259600290414536,990,0,3.3,3.3,3.33636363636364,NaN,NaN,NaN,NaN,NaN,19.8,0.629045352592414,0,0,0,47256918831,NaN,NaN,0.6618381,0,,
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,NaN,27020003,S1,Stationary-Moderate,0.183356586629485,0.183361800071372,0.256830771699062,0.256830771699062,990,0,3.3,3.3,3.33636363636364,NaN,NaN,NaN,NaN,NaN,19.8,0.465287913956634,0,0,0,47240498210,NaN,NaN,0.6592911,0,,
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,NaN,27020004,S1,Stationary-Moderate,0.183752004278116,0.18375051765011,0.246981973334825,0.246981973334825,990,0,3.3,3.3,3.33181818181818,NaN,NaN,NaN,NaN,NaN,19.8,0.569223408431604,0,0,0,47136378024,NaN,NaN,1.0826716,0,,
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,NaN,27020005,S1,Stationary-Moderate,0.202437126925481,0.202451292881921,0.363296453720672,0.363296453720672,990,0,3.3,3.3,3.33181818181818,NaN,NaN,NaN,NaN,NaN,19.8,0.713631245029,0,0,0,47246216507,NaN,NaN,3.7143351,0,,
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,NaN,27020001,S1,Stationary-Moderate,0.232748515725948,0.232751892690681,0.365711161872111,0.365711161872111,740,0,2.46666666666667,2.46666666666667,2.5,NaN,NaN,NaN,NaN,NaN,14.8,0.809617978159102,0,0,0,47187688286,NaN,NaN,4.3700246,0,,
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,NaN,27020002,S1,Stationary-Moderate,0.228687975289021,0.228681895829868,0.330574106912592,0.330574106912592,740,0,2.46666666666667,2.46666666666667,2.5,NaN,NaN,NaN,NaN,NaN,14.8,0.791535787610288,0,0,0,47256918831,NaN,NaN,0.9956268,0,,
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,NaN,27020003,S1,Stationary-Moderate,0.239204634939184,0.239217534159555,0.334815157584429,0.334815157584429,740,0,2.46666666666667,2.46666666666667,2.5,NaN,NaN,NaN,NaN,NaN,14.8,0.550414177359267,0,0,0,47240498210,NaN,NaN,0.702444,0,,
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,NaN,27020004,S1,Stationary-Moderate,0.22889467972944,0.228911589615568,0.329813989900828,0.329813989900828,740,0,2.46666666666667,2.46666666666667,2.5,NaN,NaN,NaN,NaN,NaN,14.8,0.630466583087793,0,0,0,47136378024,NaN,NaN,0.7742138,0,,
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,NaN,27020005,S1,Stationary-Moderate,0.21899274231373,0.218995812104413,0.287218072540158,0.287218072540158,740,0,2.46666666666667,2.46666666666667,2.5,NaN,NaN,NaN,NaN,NaN,14.8,0.632968216369635,0,0,0,47246216507,NaN,NaN,0.9530963,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020001,S1,Stationary-Moderate,0.268927603873759,0.268925845232361,0.387677646313565,0.387677646313565,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.815339658833124,0,0,0,47187688286,NaN,NaN,0.765677,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020002,S1,Stationary-Moderate,0.263064554792785,0.262999221875995,0.398357824265246,0.397582828905893,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.86360596674351,0,0,0,47256918831,NaN,NaN,1.2628076,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020003,S1,Stationary-Moderate,0.290637694013009,0.290623908696238,0.49534848125444,0.49534848125444,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.936161701038175,0,0,0,47240498210,NaN,NaN,0.9954669,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020004,S1,Stationary-Moderate,0.275445765497903,0.27543810293497,0.433630715281406,0.433630715281406,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.804474409766868,0,0,0,47136378024,NaN,NaN,0.2677978,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020005,S1,Stationary-Moderate,0.260129768664782,0.260114214272945,0.367189158364119,0.367189158364119,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.872188811531084,0,0,0,47246216507,NaN,NaN,0.3027052,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,27020001,S1,Stationary-Moderate,0.399114476047229,0.399147297080004,0.616090366203823,0.616090366203823,365,0,1.21666666666667,1.21666666666667,1.25,NaN,NaN,NaN,NaN,NaN,7.3,1.10713879002541,0,0,0,47187688286,NaN,NaN,0.2707023,0,,
