scenarioId,seed,lambda,time_s,inEventWindow,dataAttempts,scheduledActions,cumulativeScheduledActions,stepMaxValue,predictedSaturationFraction
S2,27020001,0,9,0,0,0,1051,0.00183479538434526,0
S2,27020001,0,9.02,0,3,3,1054,0.00202320896131853,0
S2,27020001,0,9.04,0,2,2,1056,0.00223456549821333,0
S2,27020001,0,9.06,0,5,5,1061,0.0024161730523192,0
S2,27020001,0,9.08,0,0,0,1061,0.00268385475049264,0
S2,27020001,0,9.1,0,3,3,1064,0.00292020476748308,0
S2,27020001,0,9.12,0,2,2,1066,0.00310430902737161,0
S2,27020001,0,9.14,0,5,5,1071,0.00133749261592599,0
S2,27020001,0,9.16,0,0,0,1071,0.0015648595524543,0
S2,27020001,0,9.18,0,3,3,1074,0.00118606005856564,0
S2,27020001,0,9.2,0,2,2,1076,0.00140707046473813,0
S2,27020001,0,9.22,0,5,5,1081,0.00129894619021921,0
S2,27020001,0,9.24,0,0,0,1081,0.0014476657718725,0
S2,27020001,0,9.26,0,3,3,1084,0.00121818514269021,0
S2,27020001,0,9.28,0,2,2,1086,0.00142076683655945,0
S2,27020001,0,9.3,0,5,5,1091,0.00135478621851091,0
S2,27020001,0,9.32,0,0,0,1091,0.00151837156047621,0
S2,27020001,0,9.34,0,3,3,1094,0.0016678998812013,0
S2,27020001,0,9.36,0,2,2,1096,0.0017954364248581,0
S2,27020001,0,9.38,0,5,5,1101,0.00192440623684172,0
S2,27020001,0,9.4,0,0,0,1101,0.00207944151441834,0
S2,27020001,0,9.42,0,3,3,1104,0.00126431822361497,0
S2,27020001,0,9.44,0,2,2,1106,0.00139040483289395,0
S2,27020001,0,9.46,0,5,5,1111,0.00145032341511656,0
S2,27020001,0,9.48,0,0,0,1111,0.00159658037242855,0
S2,27020001,0,9.5,0,3,3,1114,0.0017356536701803,0
S2,27020001,0,9.52,0,2,2,1116,0.0015004499085493,0
S2,27020001,0,9.54,0,5,5,1121,0.00163683555791721,0
S2,27020001,0,9.56,0,0,0,1121,0.00181549530435656,0
S2,27020001,0,9.58,0,3,3,1124,0.00183908768738567,0
S2,27020001,0,9.6,0,2,2,1126,0.00206207829722156,0
S2,27020001,0,9.62,0,5,5,1131,0.00131214923607421,0
S2,27020001,0,9.64,0,0,0,1131,0.00146225785942591,0
S2,27020001,0,9.66,0,3,3,1134,0.00131663098694707,0
S2,27020001,0,9.68,0,2,2,1136,0.00148602892566317,0
S2,27020001,0,9.7,0,5,5,1141,0.0008862085616295,0
S2,27020001,0,9.72,0,0,0,1141,0.00108697646399022,0
S2,27020001,0,9.74,0,3,3,1144,0.00126683301375601,0
S2,27020001,0,9.76,0,2,2,1146,0.00146315040328446,0
S2,27020001,0,9.78,0,5,5,1151,0.00140632345622195,0
S2,27020001,0,9.8,0,0,0,1151,0.00156873428429534,0
S2,27020001,0,9.82,0,3,3,1154,0.00119734199241902,0
S2,27020001,0,9.84,0,2,2,1156,0.00139801151024005,0
S2,27020001,0,9.86,0,5,5,1161,0.00100605239148739,0
S2,27020001,0,9.88,0,0,0,1161,0.00116752247821821,0
S2,27020001,0,9.9,0,3,3,1164,0.00126361190021734,0
S2,27020001,0,9.92,0,2,2,1166,0.00140486163560672,0
S2,27020001,0,9.94,0,5,5,1171,0.00153885981746992,0
S2,27020001,0,9.96,0,0,0,1171,0.00173023121421683,0
S2,27020001,0,9.98,0,3,3,1174,0.00190246821594487,0
S2,27020001,0,10,1,2,2,1176,0.00194328708723523,0
S2,27020001,0,10.02,1,5,5,1181,0.00158663791165901,0
S2,27020001,0,10.04,1,0,0,1181,0.00174402329255336,0
S2,27020001,0,10.06,1,3,3,1184,0.00184883970339021,0
S2,27020001,0,10.08,1,2,2,1186,0.00192759583585249,0
S2,27020001,0,10.1,1,5,5,1191,0.00196436874608415,0
S2,27020001,0,10.12,1,0,0,1191,0.00207101663683194,0
S2,27020001,0,10.14,1,3,3,1194,0.00214379870718861,0
S2,27020001,0,10.16,1,2,2,1196,0.00217421437042695,0
S2,27020001,0,10.18,1,5,5,1201,0.00216228318364653,0
S2,27020001,0,10.2,1,0,0,1201,0.00223971717093351,0
S2,27020001,0,10.22,1,3,3,1204,0.00164323995639441,0
S2,27020001,0,10.24,1,2,2,1206,0.00188571895525621,0
S2,27020001,0,10.26,1,5,5,1211,0.00105019181112041,0
S2,27020001,0,10.28,1,0,0,1211,0.00137775577086759,0
S2,27020001,0,10.3,1,3,3,1214,0.00167999252805166,0
S2,27020001,0,10.32,1,2,2,1216,0.00195318549667074,0
S2,27020001,0,10.34,1,5,5,1221,0.00117894719705361,0
S2,27020001,0,10.36,1,0,0,1221,0.00148091205701568,0
S2,27020001,0,10.38,1,3,3,1224,0.00176088235116805,0
S2,27020001,0,10.4,1,2,2,1226,0.00201286404907114,0
S2,27020001,0,10.42,1,5,5,1231,0.00174161913033221,0
S2,27020001,0,10.44,1,0,0,1231,0.001918651205166,0
S2,27020001,0,10.46,1,3,3,1234,0.00206095919880872,0
S2,27020001,0,10.48,1,2,2,1236,0.00218671753467122,0
S2,27020001,0,10.5,1,4,4,1240,0.0023586799792236,0
S2,27020001,0,10.52,1,0,0,1240,0.00254300414160834,0
S2,27020001,0,10.54,1,3,3,1243,0.00268841579828493,0
S2,27020001,0,10.56,1,2,2,1245,0.00282922480569706,0
S2,27020001,0,10.58,1,4,4,1249,0.00294431061774464,0
S2,27020001,0,10.6,1,0,0,1249,0.00307542202245835,0
S2,27020001,0,10.62,1,2,2,1251,0.00301237644741294,0
S2,27020001,0,10.64,1,2,2,1253,0.00320998954812027,0
S2,27020001,0,10.66,1,4,4,1257,0.00341536441356565,0
S2,27020001,0,10.68,1,0,0,1257,0.00364992243149579,0
S2,27020001,0,10.7,1,2,2,1259,0.00388972622659225,0
S2,27020001,0,10.72,1,2,2,1261,0.00411219244229662,0
S2,27020001,0,10.74,1,4,4,1265,0.00433395608590017,0
S2,27020001,0,10.76,1,0,0,1265,0.00458988258555963,0
S2,27020001,0,10.78,1,2,2,1267,0.00485200117319905,0
S2,27020001,0,10.8,1,2,2,1269,0.00511328558626994,0
S2,27020001,0,10.82,1,4,4,1273,0.0017462803049472,0
S2,27020001,0,10.84,1,0,0,1273,0.00193800444895197,0
S2,27020001,0,10.86,1,2,2,1275,0.00184917749107385,0
S2,27020001,0,10.88,1,2,2,1277,0.00194524219604458,0
S2,27020001,0,10.9,1,4,4,1281,0.00154980641250585,0
S2,27020001,0,10.92,1,0,0,1281,0.00176882076442939,0
S2,27020001,0,10.94,1,2,2,1283,0.00199307571315209,0
S2,27020001,0,10.96,1,2,2,1285,0.00221986358165774,0
S2,27020001,0,10.98,1,4,4,1289,0.00176676309463646,0
S2,27020001,0,11,1,0,0,1289,0.00205454876931207,0
S2,27020001,0,11.02,1,2,2,1291,0.0023263322102504,0
S2,27020001,0,11.04,1,2,2,1293,0.00189918439436849,0
S2,27020001,0,11.06,1,4,4,1297,0.00168747470248141,0
S2,27020001,0,11.08,1,0,0,1297,0.00188556048510437,0
S2,27020001,0,11.1,1,2,2,1299,0.00212101071294544,0
S2,27020001,0,11.12,1,2,2,1301,0.00234569695394312,0
S2,27020001,0,11.14,1,4,4,1305,0.00222551664613798,0
S2,27020001,0,11.16,1,0,0,1305,0.00243130821925099,0
S2,27020001,0,11.18,1,2,2,1307,0.00178000225674113,0
S2,27020001,0,11.2,1,2,2,1309,0.00206970841993629,0
S2,27020001,0,11.22,1,4,4,1313,0.00121957490281957,0
S2,27020001,0,11.24,1,0,0,1313,0.00155445275047165,0
S2,27020001,0,11.26,1,2,2,1315,0.00187456692110185,0
