scenarioId,seed,lambda,linkClass,receiver,sender,scheduledCount,evaluationCount,eventCount,acceptedCount,failedCount
S2,27020001,0,ordinary,2,1,366,275,100,291,74
S2,27020001,0,ordinary,5,1,368,275,100,297,70
S2,27020001,0,ordinary,3,2,348,253,78,276,71
S2,27020001,0,ordinary,2,3,322,234,60,256,66
S2,27020001,0,ordinary,4,3,290,194,26,223,66
S2,27020001,0,ordinary,3,4,287,195,27,232,55
S2,27020001,0,ordinary,5,4,359,260,87,290,68
S2,27020001,0,ordinary,4,5,374,275,100,299,74
S2,27020001,0,pinned-leader,2,1,361,275,100,293,67
S2,27020001,0,pinned-leader,4,1,353,266,91,300,52
S2,27020002,0,ordinary,2,1,366,275,100,290,75
S2,27020002,0,ordinary,5,1,367,275,100,294,72
S2,27020002,0,ordinary,3,2,346,252,77,276,69
S2,27020002,0,ordinary,2,3,328,237,62,262,66
S2,27020002,0,ordinary,4,3,288,191,25,228,59
S2,27020002,0,ordinary,3,4,286,194,26,226,59
S2,27020002,0,ordinary,5,4,365,267,94,289,75
S2,27020002,0,ordinary,4,5,373,275,100,301,71
S2,27020002,0,pinned-leader,2,1,362,275,100,288,73
S2,27020002,0,pinned-leader,4,1,353,266,92,278,75
S2,27020003,0,ordinary,2,1,366,275,100,288,77
S2,27020003,0,ordinary,5,1,367,275,100,284,83
S2,27020003,0,ordinary,3,2,346,252,77,276,69
S2,27020003,0,ordinary,2,3,328,237,65,260,67
S2,27020003,0,ordinary,4,3,292,194,27,234,57
S2,27020003,0,ordinary,3,4,288,195,27,228,60
S2,27020003,0,ordinary,5,4,360,261,89,291,68
S2,27020003,0,ordinary,4,5,374,275,100,300,73
S2,27020003,0,pinned-leader,2,1,363,275,100,293,69
S2,27020003,0,pinned-leader,4,1,351,264,90,280,70
S2,27020004,0,ordinary,2,1,366,275,100,285,80
S2,27020004,0,ordinary,5,1,367,275,100,286,80
S2,27020004,0,ordinary,3,2,345,251,76,281,63
S2,27020004,0,ordinary,2,3,328,239,64,266,61
S2,27020004,0,ordinary,4,3,289,191,23,232,56
S2,27020004,0,ordinary,3,4,286,194,25,228,57
S2,27020004,0,ordinary,5,4,364,266,92,283,81
S2,27020004,0,ordinary,4,5,374,275,100,301,72
S2,27020004,0,pinned-leader,2,1,361,275,100,283,77
S2,27020004,0,pinned-leader,4,1,361,274,99,288,72
S2,27020005,0,ordinary,2,1,366,275,100,284,81
S2,27020005,0,ordinary,5,1,367,275,100,286,80
S2,27020005,0,ordinary,3,2,345,250,75,269,76
S2,27020005,0,ordinary,2,3,321,236,61,265,56
S2,27020005,0,ordinary,4,3,287,193,27,237,49
S2,27020005,0,ordinary,3,4,285,193,25,226,58
S2,27020005,0,ordinary,5,4,358,262,89,294,63
S2,27020005,0,ordinary,4,5,375,275,100,297,77
S2,27020005,0,pinned-leader,2,1,361,275,100,293,68
S2,27020005,0,pinned-leader,4,1,354,267,93,298,56
S2,27020001,1e-06,ordinary,2,1,366,275,100,291,74
S2,27020001,1e-06,ordinary,5,1,368,275,100,297,70
S2,27020001,1e-06,ordinary,3,2,346,251,76,275,70
S2,27020001,1e-06,ordinary,2,3,324,236,61,259,64
S2,27020001,1e-06,ordinary,4,3,290,194,26,227,62
S2,27020001,1e-06,ordinary,3,4,286,194,26,231,55
S2,27020001,1e-06,ordinary,5,4,359,260,87,290,68
S2,27020001,1e-06,ordinary,4,5,374,275,100,307,66
S2,27020001,1e-06,pinned-leader,2,1,361,275,100,293,67
S2,27020001,1e-06,pinned-leader,4,1,353,266,91,300,52
S2,27020002,1e-06,ordinary,2,1,366,275,100,290,75
S2,27020002,1e-06,ordinary,5,1,367,275,100,294,72
S2,27020002,1e-06,ordinary,3,2,344,249,74,283,60
S2,27020002,1e-06,ordinary,2,3,328,237,62,261,67
S2,27020002,1e-06,ordinary,4,3,288,192,25,224,63
S2,27020002,1e-06,ordinary,3,4,286,194,26,226,59
S2,27020002,1e-06,ordinary,5,4,366,268,95,287,78
S2,27020002,1e-06,ordinary,4,5,373,275,100,300,72
S2,27020002,1e-06,pinned-leader,2,1,362,275,100,288,73
S2,27020002,1e-06,pinned-leader,4,1,352,265,91,279,73
S2,27020003,1e-06,ordinary,2,1,366,275,100,288,77
S2,27020003,1e-06,ordinary,5,1,367,275,100,284,83
S2,27020003,1e-06,ordinary,3,2,346,252,77,269,76
S2,27020003,1e-06,ordinary,2,3,328,236,65,262,65
S2,27020003,1e-06,ordinary,4,3,292,194,27,234,57
S2,27020003,1e-06,ordinary,3,4,288,195,27,228,60
S2,27020003,1e-06,ordinary,5,4,360,261,89,291,68
S2,27020003,1e-06,ordinary,4,5,374,275,100,300,73
S2,27020003,1e-06,pinned-leader,2,1,363,275,100,293,69
S2,27020003,1e-06,pinned-leader,4,1,351,264,90,280,70
S2,27020004,1e-06,ordinary,2,1,366,275,100,285,80
S2,27020004,1e-06,ordinary,5,1,367,275,100,286,80
S2,27020004,1e-06,ordinary,3,2,343,250,75,283,59
S2,27020004,1e-06,ordinary,2,3,327,237,63,271,55
S2,27020004,1e-06,ordinary,4,3,289,191,24,228,60
S2,27020004,1e-06,ordinary,3,4,290,198,28,221,68
S2,27020004,1e-06,ordinary,5,4,364,266,92,301,62
S2,27020004,1e-06,ordinary,4,5,374,275,100,301,72
S2,27020004,1e-06,pinned-leader,2,1,361,275,100,283,77
S2,27020004,1e-06,pinned-leader,4,1,361,274,99,273,87
S2,27020005,1e-06,ordinary,2,1,366,275,100,284,81
S2,27020005,1e-06,ordinary,5,1,367,275,100,286,80
S2,27020005,1e-06,ordinary,3,2,341,246,71,260,80
S2,27020005,1e-06,ordinary,2,3,320,235,61,264,56
S2,27020005,1e-06,ordinary,4,3,286,192,26,238,47
S2,27020005,1e-06,ordinary,3,4,286,194,26,223,63
S2,27020005,1e-06,ordinary,5,4,359,264,90,294,64
S2,27020005,1e-06,ordinary,4,5,375,275,100,297,77
S2,27020005,1e-06,pinned-leader,2,1,361,275,100,293,68
S2,27020005,1e-06,pinned-leader,4,1,354,267,93,285,68
S2,27020001,3e-06,ordinary,2,1,366,275,100,291,74
S2,27020001,3e-06,ordinary,5,1,368,275,100,297,70
S2,27020001,3e-06,ordinary,3,2,351,256,81,275,75
S2,27020001,3e-06,ordinary,2,3,323,235,61,257,66
S2,27020001,3e-06,ordinary,4,3,290,194,27,230,59
S2,27020001,3e-06,ordinary,3,4,286,194,26,232,54
S2,27020001,3e-06,ordinary,5,4,358,260,87,293,64
S2,27020001,3e-06,ordinary,4,5,373,274,99,295,77
S2,27020001,3e-06,pinned-leader,2,1,361,275,100,293,67
S2,27020001,3e-06,pinned-leader,4,1,351,264,90,279,71
S2,27020002,3e-06,ordinary,2,1,366,275,100,290,75
S2,27020002,3e-06,ordinary,5,1,367,275,100,294,72
S2,27020002,3e-06,ordinary,3,2,343,249,74,274,68
S2,27020002,3e-06,ordinary,2,3,330,238,63,258,71
S2,27020002,3e-06,ordinary,4,3,288,192,25,222,65
S2,27020002,3e-06,ordinary,3,4,287,195,27,226,60
S2,27020002,3e-06,ordinary,5,4,363,265,92,289,73
S2,27020002,3e-06,ordinary,4,5,372,274,99,294,77
S2,27020002,3e-06,pinned-leader,2,1,362,275,100,288,73
S2,27020002,3e-06,pinned-leader,4,1,353,266,92,278,75
S2,27020003,3e-06,ordinary,2,1,366,275,100,288,77
S2,27020003,3e-06,ordinary,5,1,367,275,100,284,83
S2,27020003,3e-06,ordinary,3,2,343,249,74,267,75
S2,27020003,3e-06,ordinary,2,3,328,237,65,261,66
S2,27020003,3e-06,ordinary,4,3,291,194,27,238,52
S2,27020003,3e-06,ordinary,3,4,288,195,27,228,60
S2,27020003,3e-06,ordinary,5,4,360,261,89,291,68
S2,27020003,3e-06,ordinary,4,5,374,275,100,300,73
S2,27020003,3e-06,pinned-leader,2,1,363,275,100,293,69
S2,27020003,3e-06,pinned-leader,4,1,351,264,90,280,70
S2,27020004,3e-06,ordinary,2,1,366,275,100,285,80
S2,27020004,3e-06,ordinary,5,1,367,275,100,286,80
S2,27020004,3e-06,ordinary,3,2,343,250,75,283,59
S2,27020004,3e-06,ordinary,2,3,327,237,63,271,55
S2,27020004,3e-06,ordinary,4,3,289,191,24,228,60
S2,27020004,3e-06,ordinary,3,4,290,198,28,221,68
S2,27020004,3e-06,ordinary,5,4,364,266,92,301,62
S2,27020004,3e-06,ordinary,4,5,374,275,100,301,72
S2,27020004,3e-06,pinned-leader,2,1,361,275,100,283,77
S2,27020004,3e-06,pinned-leader,4,1,360,273,98,273,86
S2,27020005,3e-06,ordinary,2,1,366,275,100,284,81
S2,27020005,3e-06,ordinary,5,1,367,275,100,286,80
S2,27020005,3e-06,ordinary,3,2,348,252,77,268,79
S2,27020005,3e-06,ordinary,2,3,322,236,61,262,59
S2,27020005,3e-06,ordinary,4,3,290,195,27,235,54
S2,27020005,3e-06,ordinary,3,4,285,193,24,223,61
S2,27020005,3e-06,ordinary,5,4,360,265,90,295,64
S2,27020005,3e-06,ordinary,4,5,375,275,100,297,77
S2,27020005,3e-06,pinned-leader,2,1,361,275,100,293,68
S2,27020005,3e-06,pinned-leader,4,1,355,268,93,299,56
S2,27020001,1e-05,ordinary,2,1,366,275,100,291,74
S2,27020001,1e-05,ordinary,5,1,368,275,100,297,70
S2,27020001,1e-05,ordinary,3,2,342,247,72,273,68
S2,27020001,1e-05,ordinary,2,3,324,236,61,257,67
S2,27020001,1e-05,ordinary,4,3,288,191,25,213,75
S2,27020001,1e-05,ordinary,3,4,287,194,27,229,57
S2,27020001,1e-05,ordinary,5,4,360,262,89,295,64
S2,27020001,1e-05,ordinary,4,5,373,274,99,306,66
S2,27020001,1e-05,pinned-leader,2,1,361,275,100,293,67
S2,27020001,1e-05,pinned-leader,4,1,352,265,91,300,51
S2,27020002,1e-05,ordinary,2,1,366,275,100,290,75
S2,27020002,1e-05,ordinary,5,1,367,275,100,294,72
S2,27020002,1e-05,ordinary,3,2,345,251,76,276,68
S2,27020002,1e-05,ordinary,2,3,329,237,62,269,59
S2,27020002,1e-05,ordinary,4,3,288,192,25,224,63
S2,27020002,1e-05,ordinary,3,4,286,194,26,226,59
S2,27020002,1e-05,ordinary,5,4,362,264,91,288,73
S2,27020002,1e-05,ordinary,4,5,372,274,99,294,77
S2,27020002,1e-05,pinned-leader,2,1,362,275,100,288,73
S2,27020002,1e-05,pinned-leader,4,1,351,264,90,283,68
S2,27020003,1e-05,ordinary,2,1,366,275,100,288,77
S2,27020003,1e-05,ordinary,5,1,367,275,100,284,83
S2,27020003,1e-05,ordinary,3,2,346,252,77,276,69
S2,27020003,1e-05,ordinary,2,3,325,234,60,265,59
S2,27020003,1e-05,ordinary,4,3,289,192,25,236,52
S2,27020003,1e-05,ordinary,3,4,285,193,25,230,54
S2,27020003,1e-05,ordinary,5,4,360,262,89,291,68
S2,27020003,1e-05,ordinary,4,5,374,275,100,300,73
S2,27020003,1e-05,pinned-leader,2,1,363,275,100,293,69
S2,27020003,1e-05,pinned-leader,4,1,350,263,89,279,70
S2,27020004,1e-05,ordinary,2,1,366,275,100,285,80
S2,27020004,1e-05,ordinary,5,1,367,275,100,286,80
S2,27020004,1e-05,ordinary,3,2,345,252,77,286,58
S2,27020004,1e-05,ordinary,2,3,329,239,64,273,55
S2,27020004,1e-05,ordinary,4,3,288,190,23,238,49
S2,27020004,1e-05,ordinary,3,4,286,194,24,228,57
S2,27020004,1e-05,ordinary,5,4,363,265,91,300,62
S2,27020004,1e-05,ordinary,4,5,374,275,100,311,63
S2,27020004,1e-05,pinned-leader,2,1,361,275,100,283,77
S2,27020004,1e-05,pinned-leader,4,1,359,272,98,273,85
S2,27020005,1e-05,ordinary,2,1,366,275,100,284,81
S2,27020005,1e-05,ordinary,5,1,367,275,100,286,80
S2,27020005,1e-05,ordinary,3,2,339,244,69,264,75
S2,27020005,1e-05,ordinary,2,3,323,238,63,260,62
S2,27020005,1e-05,ordinary,4,3,286,192,26,241,44
S2,27020005,1e-05,ordinary,3,4,291,198,28,232,59
S2,27020005,1e-05,ordinary,5,4,359,263,90,294,64
S2,27020005,1e-05,ordinary,4,5,375,275,100,306,68
S2,27020005,1e-05,pinned-leader,2,1,361,275,100,293,68
S2,27020005,1e-05,pinned-leader,4,1,352,265,91,286,65
S2,27020001,3e-05,ordinary,2,1,366,275,100,291,74
S2,27020001,3e-05,ordinary,5,1,368,275,100,297,70
S2,27020001,3e-05,ordinary,3,2,344,250,75,277,66
S2,27020001,3e-05,ordinary,2,3,322,234,60,261,60
S2,27020001,3e-05,ordinary,4,3,285,191,24,233,51
S2,27020001,3e-05,ordinary,3,4,285,193,24,234,50
S2,27020001,3e-05,ordinary,5,4,359,261,88,283,75
S2,27020001,3e-05,ordinary,4,5,372,274,99,297,74
S2,27020001,3e-05,pinned-leader,2,1,361,275,100,287,73
S2,27020001,3e-05,pinned-leader,4,1,349,262,88,277,71
S2,27020002,3e-05,ordinary,2,1,366,275,100,290,75
S2,27020002,3e-05,ordinary,5,1,367,275,100,294,72
S2,27020002,3e-05,ordinary,3,2,345,251,76,271,73
S2,27020002,3e-05,ordinary,2,3,326,235,60,260,65
S2,27020002,3e-05,ordinary,4,3,288,191,25,228,59
S2,27020002,3e-05,ordinary,3,4,287,194,26,223,63
S2,27020002,3e-05,ordinary,5,4,361,264,91,288,72
S2,27020002,3e-05,ordinary,4,5,372,274,99,294,77
S2,27020002,3e-05,pinned-leader,2,1,362,275,100,288,73
S2,27020002,3e-05,pinned-leader,4,1,350,263,89,281,69
S2,27020003,3e-05,ordinary,2,1,366,275,100,288,77
S2,27020003,3e-05,ordinary,5,1,367,275,100,284,83
S2,27020003,3e-05,ordinary,3,2,343,249,74,274,68
S2,27020003,3e-05,ordinary,2,3,325,234,60,266,58
S2,27020003,3e-05,ordinary,4,3,286,189,23,233,52
S2,27020003,3e-05,ordinary,3,4,286,194,26,234,51
S2,27020003,3e-05,ordinary,5,4,359,261,88,290,68
S2,27020003,3e-05,ordinary,4,5,373,274,99,288,84
S2,27020003,3e-05,pinned-leader,2,1,363,275,100,293,69
S2,27020003,3e-05,pinned-leader,4,1,348,261,87,281,66
S2,27020004,3e-05,ordinary,2,1,366,275,100,285,80
S2,27020004,3e-05,ordinary,5,1,367,275,100,286,80
S2,27020004,3e-05,ordinary,3,2,345,252,77,286,59
S2,27020004,3e-05,ordinary,2,3,325,236,61,263,61
S2,27020004,3e-05,ordinary,4,3,288,190,23,226,61
S2,27020004,3e-05,ordinary,3,4,287,195,25,221,65
