armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,retryInterval_s,voiPrice,voiHorizonSamples,seed,scenarioId,scenario,formationRMSE_m,primaryFormationRMSE_m,maxFormationError_m,primaryMaxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,evaluationCost025PerChannel_Hz,eventCost025PerChannel_Hz,quietCost025PerChannel_Hz,eventTrafficConcentration,eventDurationFraction,eventAllocationRatio,broadcastRate_Hz,maxEvaluationAcceleration_mps2,saturationFraction,diverged,invariantViolations,traceHashExact,controlViolationRatio,controlMaxNormalizedRisk,voiMeanScore,voiMaxScore,voiSendCount,voiMeanCandidateCount,voiMaxCandidateCount,voiKnownFailureCount,voiMeanInFlightDiscount,voiEventAllocationRatio,oracleLambda,oracleHorizonSamples,oracleValueCheckCount,oraclePositiveValueCount,oracleSendCount,oracleUsefulDeliveryCount,oracleFailedTransmissionCount,oracleNoInformationAttemptCount,oracleObservationBlockedCount,oracleMeanValue,oracleMaxValue,oracleEventAllocationRatio,oracleEventValueMean,oracleEventValueMedian,oracleEventValueP90,oracleQuietValueMean,oracleQuietValueMedian,oracleQuietValueP90,oracleMeanUsefulResidualBefore_m,oracleMeanUsefulResidualAfter_m,oracleMaxPredictedSaturationFraction,oracleEvaluationPredictedSaturationFraction,runtime_s,failed,errorIdentifier,errorMessage
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.144441553200168,0.165495619808174,0.298026030397874,0.298026030397874,14990,0,49.9666666666667,49.9666666666667,50,50,50,0.363636363636364,0.363636363636364,1,299.8,0.183400523386832,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3670748,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,NaN,NaN,27020002,S2,Formation-switching,0.144399536203983,0.165411938648501,0.29770810687925,0.29770810687925,14990,0,49.9666666666667,49.9666666666667,50,50,50,0.363636363636364,0.363636363636364,1,299.8,0.186229446278391,0,0,0,47256918831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3464529,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,NaN,NaN,27020003,S2,Formation-switching,0.144451071581303,0.165485753643957,0.297454146116648,0.297454146116648,14990,0,49.9666666666667,49.9666666666667,50,50,50,0.363636363636364,0.363636363636364,1,299.8,0.18627637925845,0,0,0,47240498210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4960808,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,NaN,NaN,27020004,S2,Formation-switching,0.14445478928988,0.1655107581181,0.297862082797882,0.297862082797882,14990,0,49.9666666666667,49.9666666666667,50,50,50,0.363636363636364,0.363636363636364,1,299.8,0.183135286136868,0,0,0,47136378024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5638578,0,,
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,NaN,NaN,27020005,S2,Formation-switching,0.144402472614894,0.165449881343636,0.298407326164996,0.298407326164996,14990,0,49.9666666666667,49.9666666666667,50,50,50,0.363636363636364,0.363636363636364,1,299.8,0.184390165826176,0,0,0,47246216507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2369754,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.147634523545799,0.168079600699536,0.306148442737581,0.306148442737581,7490,0,24.9666666666667,24.9666666666667,25,25,25,0.363636363636364,0.363636363636364,1,149.8,0.187018047539811,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6637128,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,NaN,NaN,27020002,S2,Formation-switching,0.147554090267037,0.167931511324483,0.305050490019126,0.305050490019126,7490,0,24.9666666666667,24.9666666666667,25,25,25,0.363636363636364,0.363636363636364,1,149.8,0.203483304704352,0,0,0,47256918831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5552391,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,NaN,NaN,27020003,S2,Formation-switching,0.147762355953262,0.168135666814144,0.304956274363823,0.304956274363823,7490,0,24.9666666666667,24.9666666666667,25,25,25,0.363636363636364,0.363636363636364,1,149.8,0.191298914477937,0,0,0,47240498210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9032536,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,NaN,NaN,27020004,S2,Formation-switching,0.147760960617347,0.168241624048377,0.305473964499645,0.305473964499645,7490,0,24.9666666666667,24.9666666666667,25,25,25,0.363636363636364,0.363636363636364,1,149.8,0.190275536978756,0,0,0,47136378024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1599802,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,NaN,NaN,27020005,S2,Formation-switching,0.147726152369315,0.168115424256416,0.306246510559886,0.306246510559886,7490,0,24.9666666666667,24.9666666666667,25,25,25,0.363636363636364,0.363636363636364,1,149.8,0.18702957467341,0,0,0,47246216507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6328427,0,,
