armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,isPareto,frontierFamily
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,2,0.584567606266215,0.0362932159214744,0.584599805122672,0.0363070681048799,1.24818181818182,0.00406557814090878,1.21666666666667,0.00527046276694725,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.401524597221027,0.00804572007066252,0.401503219344537,0.00804691196693263,2,0,1.96666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.358371188333151,0.0170559371758295,0.358354558611537,0.0170420823005712,2.5,0,2.46666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.297558994596252,0.00695921256317269,0.297563035350411,0.00695853823052597,3.33545454545455,0.00380300012060932,3.3,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.24283566889537,0.0141978394265484,0.242821035024193,0.01421222687399,5,0,4.96666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.211296531818712,0.00353390888937496,0.211298746718255,0.00353458818811557,6.24545454545455,0.0124482399432991,6.21666666666667,0.00527046276694756,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.17556889424139,0.00342628401061554,0.175566669228147,0.00344068312860123,10,0,9.96666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.163922930105337,0.00326116933696291,0.163921260437046,0.00326660784042364,12.5,0,12.4666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.146093326264559,0.00595989169379003,0.146091631214476,0.00596132329559353,16.6663636363636,0.00995859195463957,16.6333333333333,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.126975087706541,0.00529612605512576,0.126971651094584,0.00530396933901684,25,0,24.9666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.103272776790593,0.00199224686540242,0.103271621583481,0.0019929630301068,50,0,49.9666666666667,0,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Periodic
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,0,5,1.73330083388454,0.000591144790951157,1.73353467325831,0.000591027766798968,0.0454545454545454,0.0115886807127109,0.0333333333333333,0.00849836585598798,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,0,5,1.15182865270639,0.0120381335892441,1.1519868886214,0.0120675905809474,0.258181818181818,0.0568999411755858,0.227333333333333,0.0607087765941265,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0,0,0.739551203089274,0.00900828386070341,0.739528747483276,0.00903034154709316,0.889090909090909,0.0761007379336731,0.826,0.0769704127859819,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,NaN,NaN,5,0,0,0,0.44567659301732,0.00610164794062388,0.445679956578326,0.00610296678660588,2.01727272727273,0.10657128138729,2.02866666666667,0.105108409643462,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,NaN,NaN,5,0,0,0,0.28908558725232,0.00446455158973973,0.289079953788977,0.00446319697589175,3.53181818181818,0.191853723549139,3.61733333333333,0.165620047095754,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,NaN,NaN,5,0,0,0,0.20476761580524,0.00549260860869597,0.204761303397339,0.00550059435838025,6.14363636363636,0.176589592834688,6.32266666666667,0.125042215093766,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,NaN,NaN,5,0,0,0,0.166603305782343,0.00359206982167339,0.166592884377767,0.00360394215443448,9.68090909090909,0.128941975546566,9.686,0.100868451184919,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,NaN,NaN,5,0,0,0,0.157238342372955,0.00374653796603146,0.157232039750373,0.00375562653761064,12.2790909090909,0.0434322879476048,12.0326666666667,0.0344318973563114,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,NaN,NaN,5,0,0,0,0.156882407536953,0.00486316339694495,0.156887619564306,0.0048658999729419,12.4581818181818,0.0312282982496688,12.2106666666667,0.043358966777357,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,NaN,NaN,5,0,0,0,0.156808895955456,0.00495891191252604,0.156813802918528,0.00496200666549029,12.4609090909091,0.0299103343206586,12.214,0.0405106296064511,1,NaN,S3,Gilbert-Elliott-burst-loss,0,Centralized state oracle
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,5,0,0,1,0.432363164500426,0.0200689763974771,0.432274651162221,0.0194017049505156,1.24818181818182,0.00406557814090878,1.21666666666667,0.00527046276694725,1.00146514334074,NaN,S4,Time-varying-congestion,0,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,5,0,0,0,0.301340265861121,0.00938064673708357,0.303594902393725,0.01195075476044,2,0,1.96666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,5,0,0,0,0.256911289442407,0.0109777025499572,0.259731535485119,0.011852216431358,2.5,0,2.46666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,5,0,0,0,0.215237313996281,0.00923152515193651,0.216738969220859,0.00735001244047081,3.33545454545455,0.00380300012060932,3.3,0,1.00106489937682,NaN,S4,Time-varying-congestion,0,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,5,0,0,0,0.168280172404404,0.00295267285193943,0.170573805856513,0.00311863009337884,5,0,4.96666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,5,0,0,0,0.145416029882582,0.00321513716027966,0.147205753865599,0.00343431718222789,6.24545454545455,0.0124482399432991,6.21666666666667,0.00527046276694756,1.00073098022278,NaN,S4,Time-varying-congestion,0,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,5,0,0,0,0.117434857278464,0.00237730794342634,0.119339694361658,0.00270242502821238,10,0,9.96666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,5,0,0,0,0.105922035024497,0.000956076534283874,0.107622822087049,0.00111861457088964,12.5,0,12.4666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,5,0,0,0,0.0958193695842158,0.0011038065153043,0.097411970253995,0.0012302183035681,16.6663636363636,0.00995859195463957,16.6333333333333,0,1.00033808423934,NaN,S4,Time-varying-congestion,0,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,5,0,0,0,0.085209369285456,0.000490029070983518,0.086703796320933,0.000523603706874239,25,0,24.9666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,5,0,0,0,0.073692880607201,0.000112792825909308,0.0749799248894006,0.000131782152159312,50,0,49.9666666666667,0,1,NaN,S4,Time-varying-congestion,0,Periodic
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,NaN,NaN,5,0,0,5,1.45366003402576,0.0185670048327746,1.4486388321783,0.0204377749551718,0.0890909090909091,0.0114090003618283,0.0653333333333333,0.00836660026534076,0.917470760233918,NaN,S4,Time-varying-congestion,0,Centralized state oracle
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,NaN,NaN,5,0,0,5,1.09029818416311,0.0242147240562045,1.09517428777588,0.0254718545906286,0.285454545454545,0.017721444263289,0.24,0.0171593835683117,1.03599731087568,NaN,S4,Time-varying-congestion,0,Centralized state oracle
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,NaN,NaN,5,0,0,4,0.70404600945038,0.00626559345511363,0.711750148336771,0.00656341428287279,0.698181818181818,0.02867601871925,0.649333333333333,0.0248774775427271,1.04729666515884,NaN,S4,Time-varying-congestion,0,Centralized state oracle
