scenarioId,seed,lambda,linkClass,receiver,sender,scheduledCount,evaluationCount,eventCount,acceptedCount,failedCount
S3,27020001,0,ordinary,2,1,364,275,275,213,150
S3,27020001,0,ordinary,5,1,365,275,275,225,139
S3,27020001,0,ordinary,3,2,368,275,275,221,147
S3,27020001,0,ordinary,2,3,368,275,275,214,153
S3,27020001,0,ordinary,4,3,373,275,275,236,136
S3,27020001,0,ordinary,3,4,368,275,275,215,153
S3,27020001,0,ordinary,5,4,375,275,275,223,152
S3,27020001,0,ordinary,4,5,374,275,275,185,188
S3,27020001,0,pinned-leader,2,1,360,275,275,204,156
S3,27020001,0,pinned-leader,4,1,362,275,275,242,119
S3,27020002,0,ordinary,2,1,365,275,275,235,129
S3,27020002,0,ordinary,5,1,364,275,275,212,151
S3,27020002,0,ordinary,3,2,368,275,275,190,178
S3,27020002,0,ordinary,2,3,358,271,271,218,140
S3,27020002,0,ordinary,4,3,368,272,272,206,161
S3,27020002,0,ordinary,3,4,367,274,274,202,165
S3,27020002,0,ordinary,5,4,371,274,274,227,143
S3,27020002,0,ordinary,4,5,371,271,271,217,154
S3,27020002,0,pinned-leader,2,1,360,275,275,211,148
S3,27020002,0,pinned-leader,4,1,361,275,275,208,152
S3,27020003,0,ordinary,2,1,367,275,275,214,153
S3,27020003,0,ordinary,5,1,363,275,275,197,166
S3,27020003,0,ordinary,3,2,365,273,273,209,155
S3,27020003,0,ordinary,2,3,368,275,275,213,154
S3,27020003,0,ordinary,4,3,371,273,273,212,159
S3,27020003,0,ordinary,3,4,369,275,275,190,178
S3,27020003,0,ordinary,5,4,375,275,275,252,123
S3,27020003,0,ordinary,4,5,368,272,272,232,135
S3,27020003,0,pinned-leader,2,1,360,275,275,186,173
S3,27020003,0,pinned-leader,4,1,361,275,275,182,179
S3,27020004,0,ordinary,2,1,364,275,275,222,142
S3,27020004,0,ordinary,5,1,364,275,275,208,155
S3,27020004,0,ordinary,3,2,369,275,275,195,174
S3,27020004,0,ordinary,2,3,351,267,267,198,152
S3,27020004,0,ordinary,4,3,364,268,268,222,142
S3,27020004,0,ordinary,3,4,368,274,274,224,144
S3,27020004,0,ordinary,5,4,375,275,275,231,144
S3,27020004,0,ordinary,4,5,374,275,275,208,166
S3,27020004,0,pinned-leader,2,1,361,275,275,191,169
S3,27020004,0,pinned-leader,4,1,362,275,275,221,140
S3,27020005,0,ordinary,2,1,366,275,275,228,137
S3,27020005,0,ordinary,5,1,366,275,275,224,141
S3,27020005,0,ordinary,3,2,371,275,275,208,163
S3,27020005,0,ordinary,2,3,365,275,275,224,140
S3,27020005,0,ordinary,4,3,374,275,275,226,147
S3,27020005,0,ordinary,3,4,365,272,272,217,148
S3,27020005,0,ordinary,5,4,367,275,275,203,163
S3,27020005,0,ordinary,4,5,371,271,271,220,150
S3,27020005,0,pinned-leader,2,1,360,275,275,222,137
S3,27020005,0,pinned-leader,4,1,362,275,275,180,181
S3,27020001,1e-06,ordinary,2,1,364,275,275,213,150
S3,27020001,1e-06,ordinary,5,1,365,275,275,225,139
S3,27020001,1e-06,ordinary,3,2,368,275,275,221,147
S3,27020001,1e-06,ordinary,2,3,368,275,275,214,153
S3,27020001,1e-06,ordinary,4,3,373,275,275,236,136
S3,27020001,1e-06,ordinary,3,4,368,275,275,215,153
S3,27020001,1e-06,ordinary,5,4,375,275,275,223,152
S3,27020001,1e-06,ordinary,4,5,374,275,275,185,188
S3,27020001,1e-06,pinned-leader,2,1,360,275,275,204,156
S3,27020001,1e-06,pinned-leader,4,1,362,275,275,242,119
S3,27020002,1e-06,ordinary,2,1,365,275,275,235,129
S3,27020002,1e-06,ordinary,5,1,364,275,275,212,151
S3,27020002,1e-06,ordinary,3,2,368,275,275,190,178
S3,27020002,1e-06,ordinary,2,3,358,271,271,218,140
S3,27020002,1e-06,ordinary,4,3,368,272,272,206,161
S3,27020002,1e-06,ordinary,3,4,367,274,274,202,165
S3,27020002,1e-06,ordinary,5,4,370,274,274,226,143
S3,27020002,1e-06,ordinary,4,5,371,271,271,217,154
S3,27020002,1e-06,pinned-leader,2,1,360,275,275,211,148
S3,27020002,1e-06,pinned-leader,4,1,361,275,275,208,152
S3,27020003,1e-06,ordinary,2,1,367,275,275,214,153
S3,27020003,1e-06,ordinary,5,1,363,275,275,197,166
S3,27020003,1e-06,ordinary,3,2,365,273,273,209,155
S3,27020003,1e-06,ordinary,2,3,368,275,275,213,154
S3,27020003,1e-06,ordinary,4,3,371,273,273,212,159
S3,27020003,1e-06,ordinary,3,4,369,275,275,190,178
S3,27020003,1e-06,ordinary,5,4,375,275,275,252,123
S3,27020003,1e-06,ordinary,4,5,368,272,272,232,135
S3,27020003,1e-06,pinned-leader,2,1,360,275,275,186,173
S3,27020003,1e-06,pinned-leader,4,1,361,275,275,182,179
S3,27020004,1e-06,ordinary,2,1,364,275,275,222,142
S3,27020004,1e-06,ordinary,5,1,364,275,275,208,155
S3,27020004,1e-06,ordinary,3,2,369,275,275,195,174
S3,27020004,1e-06,ordinary,2,3,351,267,267,198,152
S3,27020004,1e-06,ordinary,4,3,364,268,268,222,142
S3,27020004,1e-06,ordinary,3,4,368,274,274,224,144
S3,27020004,1e-06,ordinary,5,4,375,275,275,231,144
S3,27020004,1e-06,ordinary,4,5,374,275,275,208,166
S3,27020004,1e-06,pinned-leader,2,1,361,275,275,191,169
S3,27020004,1e-06,pinned-leader,4,1,362,275,275,221,140
S3,27020005,1e-06,ordinary,2,1,366,275,275,228,137
S3,27020005,1e-06,ordinary,5,1,366,275,275,224,141
S3,27020005,1e-06,ordinary,3,2,371,275,275,208,163
S3,27020005,1e-06,ordinary,2,3,365,275,275,224,140
S3,27020005,1e-06,ordinary,4,3,374,275,275,226,147
