armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,1,0,0,0,0.144441553200168,0,0.165495619808174,0,50,0,49.9666666666667,0,1,NaN,S2,Formation-switching
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,1,0,0,0,0.147634523545799,0,0.168079600699536,0,25,0,24.9666666666667,0,1,NaN,S2,Formation-switching
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,1,0,0,0,0.151716910461978,0,0.171241725956584,0,16.6636363636364,0,16.6333333333333,0,0.998431533006001,NaN,S2,Formation-switching
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,1,0,0,0,0.155249752686119,0,0.174233938223058,0,12.5,0,12.4666666666667,0,1,NaN,S2,Formation-switching
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,1,0,0,0,0.16093130244837,0,0.179462176018926,0,10,0,9.96666666666667,0,1,NaN,S2,Formation-switching
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,1,0,0,0,0.17591173994444,0,0.192351769140933,0,6.25909090909091,0,6.21666666666667,0,0.998547567175018,NaN,S2,Formation-switching
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,1,0,0,0,0.191026032081756,0,0.206998338127957,0,5,0,4.96666666666667,0,1,NaN,S2,Formation-switching
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,1,0,0,0,0.215526042993439,0,0.226215839900668,0,3.34090909090909,0,3.3,0,0.998979591836735,NaN,S2,Formation-switching
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,1,0,0,0,0.263196219823198,0,0.273093553720471,0,2.5,0,2.46666666666667,0,1,NaN,S2,Formation-switching
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,1,0,0,0,0.286929882926453,0,0.29287741853895,0,2,0,1.96666666666667,0,1,NaN,S2,Formation-switching
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,1,0,0,0,0.407897034653606,0,0.416969350543184,0,1.25,0,1.21666666666667,0,1,NaN,S2,Formation-switching
PV01,Predictive-VoI,Predictive-VoI,voiPrice,0,NaN,NaN,1,0,0,0,0.147236819924843,0,0.167732618508267,0,32.5602272727273,0,35.2675,0,0.996422713153945,NaN,S2,Formation-switching
PV02,Predictive-VoI,Predictive-VoI,voiPrice,1e-08,NaN,NaN,1,0,0,0,0.147235758658483,0,0.167731317524801,0,32.4159090909091,0,35.0716666666667,0,0.988808455444156,NaN,S2,Formation-switching
PV03,Predictive-VoI,Predictive-VoI,voiPrice,3e-08,NaN,NaN,1,0,0,0,0.147231627465831,0,0.167726336077169,0,32.2022727272727,0,34.8333333333333,0,0.978094784388454,NaN,S2,Formation-switching
PV04,Predictive-VoI,Predictive-VoI,voiPrice,1e-07,NaN,NaN,1,0,0,0,0.147220229139296,0,0.167712442741414,0,31.8034090909091,0,34.3991666666667,0,0.95636366884625,NaN,S2,Formation-switching
PV05,Predictive-VoI,Predictive-VoI,voiPrice,3e-07,NaN,NaN,1,0,0,0,0.147189295002272,0,0.167674819223712,0,31.3522727272727,0,33.7308333333333,0,0.93314606741573,NaN,S2,Formation-switching
PV06,Predictive-VoI,Predictive-VoI,voiPrice,1e-06,NaN,NaN,1,0,0,0,0.147988696977128,0,0.168377423835745,0,26.9375,0,29.27,0,0.927610208816705,NaN,S2,Formation-switching
PV07,Predictive-VoI,Predictive-VoI,voiPrice,3e-06,NaN,NaN,1,0,0,0,0.153073938718028,0,0.172460023174252,0,17.4375,0,19.8441666666667,0,1.02939068100358,NaN,S2,Formation-switching
PV08,Predictive-VoI,Predictive-VoI,voiPrice,1e-05,NaN,NaN,1,0,0,0,0.165051556507945,0,0.181880849874434,0,9.70227272727273,0,11.27,0,1.05741977043804,NaN,S2,Formation-switching
PV09,Predictive-VoI,Predictive-VoI,voiPrice,3e-05,NaN,NaN,1,0,0,0,0.188700472648341,0,0.201776426576227,0,5.26931818181818,0,6.285,0,1.11138667241751,NaN,S2,Formation-switching
PV10,Predictive-VoI,Predictive-VoI,voiPrice,0.0001,NaN,NaN,1,0,0,0,0.239747360728616,0,0.244722889533022,0,2.81818181818182,0,3.38333333333333,0,1.08114919354839,NaN,S2,Formation-switching
PV11,Predictive-VoI,Predictive-VoI,voiPrice,0.0003,NaN,NaN,1,0,0,0,0.327303355224258,0,0.32563310779092,0,1.61477272727273,0,1.86333333333333,0,1.14760731878958,NaN,S2,Formation-switching
PV12,Predictive-VoI,Predictive-VoI,voiPrice,0.001,NaN,NaN,1,0,0,0,0.513471298902898,0,0.500287017709656,0,0.848863636363636,0,0.93,0,1.06392235609103,NaN,S2,Formation-switching
PV13,Predictive-VoI,Predictive-VoI,voiPrice,0.003,NaN,NaN,1,0,0,1,0.760646924565551,0,0.730890290896243,0,0.445454545454545,0,0.443333333333333,0,1.38201530612245,NaN,S2,Formation-switching
PV14,Predictive-VoI,Predictive-VoI,voiPrice,0.01,NaN,NaN,1,0,0,1,1.14548292346474,0,1.13931411729092,0,0.209090909090909,0,0.188333333333333,0,1.22554347826087,NaN,S2,Formation-switching
PV15,Predictive-VoI,Predictive-VoI,voiPrice,1,NaN,NaN,1,0,0,0,2.00000289569214,0,2.05848012157254,0,0,0,0,0,0,NaN,S2,Formation-switching
CAUSALV3,Historical reference,Causal-v3 frozen,frozen,NaN,NaN,NaN,1,0,0,0,0.156161387508518,0,0.174916244029884,0,14.9556818181818,0,16.0883333333333,0,1.02866423524048,NaN,S2,Formation-switching
GATE4STOPPED,Stopped reference,Gate-4 stopped,epsilonPosition_m,0.4,NaN,0.4,1,0,0,0,0.192263587544293,0,0.204143481462975,0,6.01022727272727,0,6.78833333333333,0,1.0482132728304,0.472085276482345,S2,Formation-switching
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,1,0,0,0,0.0726907865512582,0,0.0845466332991381,0,50,0,49.9666666666667,0,1,NaN,S6,Dynamic-excitation
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,1,0,0,0,0.0789183361142625,0,0.0898587255744545,0,25,0,24.9666666666667,0,1,NaN,S6,Dynamic-excitation
