armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,seedCount,failedRuns,divergedRuns,saturatedRuns,meanFormationRMSE_m,stdFormationRMSE_m,meanPrimaryFormationRMSE_m,stdPrimaryFormationRMSE_m,meanEvaluationCost025PerChannel_Hz,stdEvaluationCost025PerChannel_Hz,meanCost025PerChannel_Hz,stdCost025PerChannel_Hz,meanEventAllocationRatio,meanControlViolationRatio,scenarioId,scenario,frontierFamily
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,1,0,0,0,0.407897034653606,0,0.416969350543184,0,1.25,0,1.21666666666667,0,1,NaN,S2,Formation-switching,Periodic
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,1,0,0,0,0.286929882926453,0,0.29287741853895,0,2,0,1.96666666666667,0,1,NaN,S2,Formation-switching,Periodic
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,1,0,0,0,0.263196219823198,0,0.273093553720471,0,2.5,0,2.46666666666667,0,1,NaN,S2,Formation-switching,Periodic
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,1,0,0,0,0.215526042993439,0,0.226215839900668,0,3.34090909090909,0,3.3,0,0.998979591836735,NaN,S2,Formation-switching,Periodic
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,1,0,0,0,0.191026032081756,0,0.206998338127957,0,5,0,4.96666666666667,0,1,NaN,S2,Formation-switching,Periodic
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,1,0,0,0,0.17591173994444,0,0.192351769140933,0,6.25909090909091,0,6.21666666666667,0,0.998547567175018,NaN,S2,Formation-switching,Periodic
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,1,0,0,0,0.16093130244837,0,0.179462176018926,0,10,0,9.96666666666667,0,1,NaN,S2,Formation-switching,Periodic
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,1,0,0,0,0.155249752686119,0,0.174233938223058,0,12.5,0,12.4666666666667,0,1,NaN,S2,Formation-switching,Periodic
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,1,0,0,0,0.151716910461978,0,0.171241725956584,0,16.6636363636364,0,16.6333333333333,0,0.998431533006001,NaN,S2,Formation-switching,Periodic
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,1,0,0,0,0.147634523545799,0,0.168079600699536,0,25,0,24.9666666666667,0,1,NaN,S2,Formation-switching,Periodic
