armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,retryInterval_s,voiPrice,voiHorizonSamples,seed,scenarioId,scenario,formationRMSE_m,primaryFormationRMSE_m,maxFormationError_m,primaryMaxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,evaluationCost025PerChannel_Hz,eventCost025PerChannel_Hz,quietCost025PerChannel_Hz,eventTrafficConcentration,eventDurationFraction,eventAllocationRatio,broadcastRate_Hz,maxEvaluationAcceleration_mps2,saturationFraction,diverged,invariantViolations,traceHashExact,controlViolationRatio,controlMaxNormalizedRisk,voiMeanScore,voiMaxScore,voiSendCount,voiMeanCandidateCount,voiMaxCandidateCount,voiKnownFailureCount,voiMeanInFlightDiscount,voiEventAllocationRatio,runtime_s,failed,errorIdentifier,errorMessage
PS001,Periodic,Periodic-1step,periodSamples,1,0.02,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.144441553200168,0.165495619808174,0.298026030397874,0.298026030397874,14990,0,49.9666666666667,49.9666666666667,50,50,50,0.363636363636364,0.363636363636364,1,299.8,0.183400523386832,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0925258,0,,
PS002,Periodic,Periodic-2step,periodSamples,2,0.04,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.147634523545799,0.168079600699536,0.306148442737581,0.306148442737581,7490,0,24.9666666666667,24.9666666666667,25,25,25,0.363636363636364,0.363636363636364,1,149.8,0.187018047539811,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6435569,0,,
PS003,Periodic,Periodic-3step,periodSamples,3,0.06,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.151716910461978,0.171241725956584,0.315268171205692,0.315268171205692,4990,0,16.6333333333333,16.6333333333333,16.6636363636364,16.6375,16.6785714285714,0.363066012002182,0.363636363636364,0.998431533006001,99.8,0.202418672706281,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5128653,0,,
PS004,Periodic,Periodic-4step,periodSamples,4,0.08,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.155249752686119,0.174233938223058,0.320344896678467,0.320344896678467,3740,0,12.4666666666667,12.4666666666667,12.5,12.5,12.5,0.363636363636364,0.363636363636364,1,74.8,0.222163225461403,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4109438,0,,
PS005,Periodic,Periodic-5step,periodSamples,5,0.1,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.16093130244837,0.179462176018926,0.33471161469886,0.33471161469886,2990,0,9.96666666666667,9.96666666666667,10,10,10,0.363636363636364,0.363636363636364,1,59.8,0.315216505853687,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4094074,0,,
PS008,Periodic,Periodic-8step,periodSamples,8,0.16,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.17591173994444,0.192351769140933,0.355137560562682,0.355137560562682,1865,0,6.21666666666667,6.21666666666667,6.25909090909091,6.25,6.26428571428571,0.363108206245461,0.363636363636364,0.998547567175018,37.3,0.309099451679189,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3269925,0,,
PS010,Periodic,Periodic-10step,periodSamples,10,0.2,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.191026032081756,0.206998338127957,0.383271189052588,0.383271189052588,1490,0,4.96666666666667,4.96666666666667,5,5,5,0.363636363636364,0.363636363636364,1,29.8,0.801965100889505,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2634743,0,,
PS015,Periodic,Periodic-15step,periodSamples,15,0.3,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.215526042993439,0.226215839900668,0.396857677385029,0.396857677385029,990,0,3.3,3.3,3.34090909090909,3.3375,3.34285714285714,0.363265306122449,0.363636363636364,0.998979591836735,19.8,0.635855482309484,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2098967,0,,
PS020,Periodic,Periodic-20step,periodSamples,20,0.4,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.263196219823198,0.273093553720471,0.487023131256026,0.487023131256026,740,0,2.46666666666667,2.46666666666667,2.5,2.5,2.5,0.363636363636364,0.363636363636364,1,14.8,1.1360780245978,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1906658,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.286929882926453,0.29287741853895,0.534373170094024,0.534373170094024,590,0,1.96666666666667,1.96666666666667,2,2,2,0.363636363636364,0.363636363636364,1,11.8,0.794680973596606,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1777283,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,NaN,NaN,27020001,S2,Formation-switching,0.407897034653606,0.416969350543184,0.709453737821192,0.709453737821192,365,0,1.21666666666667,1.21666666666667,1.25,1.25,1.25,0.363636363636364,0.363636363636364,1,7.3,1.30637721296043,0,0,0,47187688286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1716049,0,,
