sourceR2Run,configurationId,N,graph,pinning,H,D,sender,p,rValue,rRelative,strictReduction,relativeRankRatio,pairwiseHiddenDirections,fullRelativeIdentifiable,individualNonidentifiableCount,allIndividualValuesIdentifiable,orderingIdentifiableDespiteHiddenValues,nontrivialActionSet,relativeProjectionResidualMax,relativeProjectionResidualFro,relativeBasisResiduals,pairwiseProjectionResiduals,valueHiddenSingularValues,relativeHiddenSingularValues,storedRValueMatch
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,2,1,4,3,2,1,0.666666666666667,2,0,4,0,0,1,0.988132446040895,0.968392866331505,0.96552133053055333;0.98813244604089523;0.96552133053055333,ordinary_1_to_2-ordinary_1_to_5=0.97038944667153149;ordinary_1_to_2-pinned_leader_1_to_2=0;ordinary_1_to_2-pinned_leader_1_to_4=0.96552133053055333;ordinary_1_to_5-pinned_leader_1_to_2=0.97038944667153149;ordinary_1_to_5-pinned_leader_1_to_4=0.98813244604089523;pinned_leader_1_to_2-pinned_leader_1_to_4=0.96552133053055333,3.7963627613611464;2.8949449030750918;0.39958773718562529;3.1766594089897645e-16,5.3633285664592663;1.4447472148297034;8.9118392375309993e-16,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,2,2,1,1,0,1,0,0,1,1,0,0,0,0,0,,,5.429113908674962,,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,2,3,2,2,1,1,0.5,1,0,2,0,0,1,0.999850530219577,0.999850530219577,0.99985053021957715,ordinary_3_to_2-ordinary_3_to_4=0.99985053021957715,6.5767533062657701;2.5753844228533325,3.7917630645663238,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,2,4,2,2,1,1,0.5,1,0,2,0,0,1,0.998118341639927,0.998118341639927,0.99811834163992674,ordinary_4_to_3-ordinary_4_to_5=0.99811834163992674,6.9292042958264313;0.66004906246810868,1.4240390260273286,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,2,5,1,1,0,1,0,0,1,1,0,0,0,0,0,,,5.4242295926798425,,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,4,1,4,3,2,1,0.666666666666667,2,0,4,0,0,1,0.990357944271257,0.97301989812796,0.97041362358792915;0.99035794427125678;0.97041362358792915,ordinary_1_to_2-ordinary_1_to_5=0.9738804662663102;ordinary_1_to_2-pinned_leader_1_to_2=0;ordinary_1_to_2-pinned_leader_1_to_4=0.97041362358792915;ordinary_1_to_5-pinned_leader_1_to_2=0.9738804662663102;ordinary_1_to_5-pinned_leader_1_to_4=0.99035794427125678;pinned_leader_1_to_2-pinned_leader_1_to_4=0.97041362358792915,2.6675759681923474;2.0215903771974579;0.27457051208102157;1.5687363806457072e-16,3.7953057887272683;1.0281381183655884;7.8321627822051588e-16,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,4,2,1,1,0,1,0,0,1,1,0,0,0,0,0,,,3.6787678814952391,,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,4,3,2,2,1,1,0.5,1,0,2,0,0,1,0.999872039750764,0.999872039750764,0.99987203975076422,ordinary_3_to_2-ordinary_3_to_4=0.99987203975076422,4.5192270185322894;1.8212221367718184,2.6656995870189411,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,4,4,2,2,1,1,0.5,1,0,2,0,0,1,0.998178306883884,0.998178306883884,0.99817830688388398,ordinary_4_to_3-ordinary_4_to_5=0.99817830688388398,4.7148124666524831;0.44253062193642551,0.93807365726388259,1
D:\Research\Drone\SwarmDroneMATLAB\results\tcns_r2_generalization_validation\2026-09-08_161130,N5_ring2_pin_even,5,ring2,even,15,4,5,1,1,0,1,0,0,1,1,0,0,0,0,0,,,3.7237495095744584,,1
