attemptId,sourceIndex,sourceActionId,sender,actionIds,centerQ,commonDimension,branchRadius,relativeValuesVary,commonActions,commonWinnerMargins,leftQ,rightQ,leftArgmax,rightArgmax,argmaxIntersection,leftWinnerMargin,rightWinnerMargin,maximumAffineOracleMismatch,minimumSaturationMargin,maximumInformationResidual,maximumJointResponseResidual,maximumDynamicResidual,outcome,failureReason
center_01_sender_1,1,ordinary_1_to_2,1,NO_TRANSMISSION;ordinary_1_to_2;ordinary_1_to_5;pinned_leader_1_to_2;pinned_leader_1_to_4,0;-5.8720559068404371e-19;3.6895216006780749e-06;3.5990836984505662e-08;5.2149391219858999e-07,24,0.00575079150548372,1,,-0.00031098358736555656;-0.00030362165365790061;-0.00030360454416420037;-0.00029547210806754446;-0.0002669611617635854,0;-0.00019538688111277999;-0.00016311549592179338;-0.00016278641009033164;-0.00020005518230769095,0;0.00019723552995688939;7.7516277640320979e-05;0.00016439893246772611;0.00016465374220610849,0,1,,0.000162786410090332,3.25817877507809e-05,2.71050543121376e-19,1.12712677786876,0,0,7.91033905045424e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_01_sender_3,1,ordinary_1_to_2,3,NO_TRANSMISSION;ordinary_3_to_2;ordinary_3_to_4,0;-7.9879431929147983e-07;-1.6534299917086991e-06,6,0.0090703481929314,1,,-0.0003828933117902795;-0.000373449214694001;-0.00038620017177369689,0;-1.10413638450914e-05;-0.00038618807046182234,0;9.4429909175477796e-06;0.00038285178308829139,0,2,,1.10413638450914e-05,0.000373408792170744,8.67361737988404e-19,6.45212910042048e-05,5.42101086242752e-20,0,5.82867087928207e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_01_sender_4,1,ordinary_1_to_2,4,NO_TRANSMISSION;ordinary_4_to_3;ordinary_4_to_5,0;1.4466124522271862e-07;8.7174238361702725e-07,6,0.00644553104746785,1,,-7.4178389470654478e-05;-7.3889066980209028e-05;-7.1417758248373524e-05,0;-3.8753079787520923e-05;-1.2069057306442031e-07,0;7.4170281044363146e-05;2.7604243445437436e-06,0,1,,1.2069057306442e-07,7.14098566998194e-05,5.42101086242752e-20,0.000220297122687896,1.92445885616177e-18,1.0842021724855e-19,4.16333634234434e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_02_sender_1,2,ordinary_1_to_5,1,NO_TRANSMISSION;ordinary_1_to_2;ordinary_1_to_5;pinned_leader_1_to_2;pinned_leader_1_to_4,0;4.9523367306891571e-06;-4.0075246316969085e-20;4.1629381125592914e-06;3.4179562424012789e-06,24,0.00565709042519913,1,,-0.00030228714004000069;-0.00029009282198398938;-0.0003022871400400008;-0.0002829008648416371;-0.00025607703876594706,0;-0.00018822042312229012;-0.00015788798924866535;-0.00015681436176492343;-0.00019405837177349468,0;0.00019924306994951687;7.0252299145062811e-05;0.00016607188246158235;0.00016630112438249019,0,1,,0.000156814361764923,3.29419455670267e-05,1.35525271560688e-19,1.09155383288905,0,0,7.07767178198537e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_02_sender_3,2,ordinary_1_to_5,3,NO_TRANSMISSION;ordinary_3_to_2;ordinary_3_to_4,0;3.3561894792203012e-06;2.7639539128910954e-06,6,0.00904619689819922,1,,-0.00019547891011043245;-0.00018698951273731499;-0.00018995100228465028,0;-1.7764697792424996e-06;-0.00018993039702751036,0;3.2707662037196998e-06;-4.4322053111404609e-07,0,1,,1.7764697792425e-06,3.2707662037197e-06,3.25260651745651e-19,0.019353048076274,5.42101086242752e-20,0,6.38378239159465e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_02_sender_4,2,ordinary_1_to_5,4,NO_TRANSMISSION;ordinary_4_to_3;ordinary_4_to_5,0;-2.3512990334292001e-06;-1.0772359104433829e-06,6,0.00644854879393177,1,,-0.00044193826067876374;-0.00044664085874562213;-0.00043167993899146095,0;-0.00044663860600376254;-1.2412736321801504e-05,0;0.00044185098501579038;1.025609493875886e-05,0,1,,1.24127363218015e-05,0.000431594890077031,5.42101086242752e-19,1.13781570192373e-05,2.53432257818487e-18,2.16840434497101e-19,2.89698820488127e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_03_sender_1,3,ordinary_2_to_3,1,NO_TRANSMISSION;ordinary_1_to_2;ordinary_1_to_5;pinned_leader_1_to_2;pinned_leader_1_to_4,0;-0;-0;-0;-0,24,0.00569698707788514,0,0;1;2;3;4,0;-0;-0;-0;-0,0;-0;-0;-0;-0,0;-0;-0;-0;-0,0;1;2;3;4,0;1;2;3;4,0;1;2;3;4,0,0,0,1.97196358965586,0,0,1.36582368678861e-16,COMMON_FIBER_WINNER_CERTIFIED,NONE
center_03_sender_3,3,ordinary_2_to_3,3,NO_TRANSMISSION;ordinary_3_to_2;ordinary_3_to_4,0;-1.5659932194109684e-08;6.2265600300355529e-08,6,0.00905887475206206,1,,-1.7822987917499681e-05;-1.736556842815419e-05;-1.7698456716898969e-05,0;-3.5526460995358393e-07;-1.2687441974583812e-05,0;4.5740174160172307e-07;1.7822321617842069e-05,0,2,,3.55264609953584e-07,1.73649198762403e-05,1.6940658945086e-20,0.0136363422486703,4.04813385544759e-20,2.03287907341032e-20,3.60822483003176e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_03_sender_4,3,ordinary_2_to_3,4,NO_TRANSMISSION;ordinary_4_to_3;ordinary_4_to_5,0;-6.0399438238667521e-07;3.2534657375627708e-06,6,0.00636030897576694,1,,-0.00028076603221581839;-0.00028197402098059172;-0.00027033372089644761,0;-0.000281965926006563;-3.9251734778631015e-06,0;0.00028071511600563393;1.0431012244757414e-05,0,1,,3.9251734778631e-06,0.000270284103760876,4.33680868994202e-19,5.79860949225797e-05,2.49027686492764e-18,0,5.55111512312578e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_04_sender_1,4,ordinary_3_to_2,1,NO_TRANSMISSION;ordinary_1_to_2;ordinary_1_to_5;pinned_leader_1_to_2;pinned_leader_1_to_4,0;-0;-0;-0;-0,24,0.00482143909309203,0,0;1;2;3;4,0;-0;-0;-0;-0,0;-0;-0;-0;-0,0;-0;-0;-0;-0,0;1;2;3;4,0;1;2;3;4,0;1;2;3;4,0,0,0,1.32526196479108,0,0,3.67761376907083e-16,COMMON_FIBER_WINNER_CERTIFIED,NONE
center_04_sender_3,4,ordinary_3_to_2,3,NO_TRANSMISSION;ordinary_3_to_2;ordinary_3_to_4,0;2.6999175193730823e-21;-9.5422069430447837e-05,6,0.00602310713083089,1,,-9.7222525996627085e-05;-9.2091192251314433e-05;-0.00028806666485752279,0;-4.6002534232255784e-06;-0.00026812841224186973,0;2.5424345236752669e-06;2.7854840984459658e-08,0,1,,4.60025342322558e-06,2.51457968269081e-06,2.16840434497101e-19,0.137162551995905,2.71050543121376e-20,0,2.22044604925031e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_04_sender_4,4,ordinary_3_to_2,4,NO_TRANSMISSION;ordinary_4_to_3;ordinary_4_to_5,0;-0.00026451928273445537;-0.00038860152792136784,6,0.00641887734471546,1,,-0.0037586301712140341;-0.0042876687366829444;-0.0040445854825798822,0;-0.0042876037490631224;-0.00049124608962602772,0;0.0037586353433562256;-0.00028595517936231711,0,1,,0.000491246089626028,0.00375863534335623,7.37257477290143e-18,3.3343716328238e-05,2.60208521396521e-18,3.46944695195361e-18,4.1286418728248e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
center_05_sender_1,5,ordinary_3_to_4,1,NO_TRANSMISSION;ordinary_1_to_2;ordinary_1_to_5;pinned_leader_1_to_2;pinned_leader_1_to_4,0;-0;-0;-0;-0,24,0.00576342094068266,0,0;1;2;3;4,0;-0;-0;-0;-0,0;-0;-0;-0;-0,0;-0;-0;-0;-0,0;1;2;3;4,0;1;2;3;4,0;1;2;3;4,0,0,0,1.98024448180242,0,0,8.91214185783085e-17,COMMON_FIBER_WINNER_CERTIFIED,NONE
center_05_sender_3,5,ordinary_3_to_4,3,NO_TRANSMISSION;ordinary_3_to_2;ordinary_3_to_4,0;2.5416883153157127e-06;-1.4939543607197722e-19,6,0.00900651391849436,1,,-0.00028806663941860082;-0.00027785192988786757;-0.00028806663941860115,0;-5.1309196645106165e-06;-0.00028805111344563255,0;2.5415757373998389e-06;-4.5861805569541034e-09,0,1,,5.13091966451062e-06,2.54157573739984e-06,2.16840434497101e-19,0.000108535079905936,1.0842021724855e-19,0,1.94289029309402e-16,COMMON_FIBER_ARGMAX_AMBIGUOUS,NONE
