attemptId,sourceIndex,sourceActionId,N,graph,pinning,H,D,sender,actionCount,augmentedActionCount,sourceEligible,centerReplayPass,sourceStateReplayResidual,exclusionReason,outcome
center_01_sender_1,1,ordinary_1_to_2,5,ring2,even,25,4,1,4,5,1,1,2.77555756156289e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_01_sender_3,1,ordinary_1_to_2,5,ring2,even,25,4,3,2,3,1,1,2.77555756156289e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_01_sender_4,1,ordinary_1_to_2,5,ring2,even,25,4,4,2,3,1,1,2.77555756156289e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_02_sender_1,2,ordinary_1_to_5,5,ring2,even,25,4,1,4,5,1,1,3.07804996768635e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_02_sender_3,2,ordinary_1_to_5,5,ring2,even,25,4,3,2,3,1,1,3.07804996768635e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_02_sender_4,2,ordinary_1_to_5,5,ring2,even,25,4,4,2,3,1,1,3.07804996768635e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_03_sender_1,3,ordinary_2_to_3,5,ring2,even,25,4,1,4,5,1,1,1.11022302462516e-16,NONE,COMMON_FIBER_WINNER_CERTIFIED
center_03_sender_3,3,ordinary_2_to_3,5,ring2,even,25,4,3,2,3,1,1,1.11022302462516e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_03_sender_4,3,ordinary_2_to_3,5,ring2,even,25,4,4,2,3,1,1,1.11022302462516e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_04_sender_1,4,ordinary_3_to_2,5,ring2,even,25,4,1,4,5,1,1,1.11022302462516e-16,NONE,COMMON_FIBER_WINNER_CERTIFIED
center_04_sender_3,4,ordinary_3_to_2,5,ring2,even,25,4,3,2,3,1,1,1.11022302462516e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_04_sender_4,4,ordinary_3_to_2,5,ring2,even,25,4,4,2,3,1,1,1.11022302462516e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_05_sender_1,5,ordinary_3_to_4,5,ring2,even,25,4,1,4,5,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_WINNER_CERTIFIED
center_05_sender_3,5,ordinary_3_to_4,5,ring2,even,25,4,3,2,3,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_05_sender_4,5,ordinary_3_to_4,5,ring2,even,25,4,4,2,3,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_06_sender_1,6,ordinary_4_to_3,5,ring2,even,25,4,1,4,5,1,1,1.22840106142608e-16,NONE,COMMON_FIBER_WINNER_CERTIFIED
center_06_sender_3,6,ordinary_4_to_3,5,ring2,even,25,4,3,2,3,1,1,1.22840106142608e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_06_sender_4,6,ordinary_4_to_3,5,ring2,even,25,4,4,2,3,1,1,1.22840106142608e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_07_sender_1,7,ordinary_4_to_5,5,ring2,even,25,4,1,4,5,1,1,7.54604712049911e-17,NONE,COMMON_FIBER_WINNER_CERTIFIED
center_07_sender_3,7,ordinary_4_to_5,5,ring2,even,25,4,3,2,3,1,1,7.54604712049911e-17,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_07_sender_4,7,ordinary_4_to_5,5,ring2,even,25,4,4,2,3,1,1,7.54604712049911e-17,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_08_sender_1,8,ordinary_5_to_4,5,ring2,even,25,4,1,4,5,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_WINNER_CERTIFIED
center_08_sender_3,8,ordinary_5_to_4,5,ring2,even,25,4,3,2,3,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_08_sender_4,8,ordinary_5_to_4,5,ring2,even,25,4,4,2,3,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_09_sender_1,9,pinned_leader_1_to_2,5,ring2,even,25,4,1,4,5,1,1,3.33066907387547e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_09_sender_3,9,pinned_leader_1_to_2,5,ring2,even,25,4,3,2,3,1,1,3.33066907387547e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_09_sender_4,9,pinned_leader_1_to_2,5,ring2,even,25,4,4,2,3,1,1,3.33066907387547e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_10_sender_1,10,pinned_leader_1_to_4,5,ring2,even,25,4,1,4,5,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_10_sender_3,10,pinned_leader_1_to_4,5,ring2,even,25,4,3,2,3,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
center_10_sender_4,10,pinned_leader_1_to_4,5,ring2,even,25,4,4,2,3,1,1,2.22044604925031e-16,NONE,COMMON_FIBER_ARGMAX_AMBIGUOUS
